,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
251,"[825, 172, 80, 96]",0.24,0.0,0.11,0.07,0.37,0.0,0.22,"[329, 129, 74, 99]",0.36,0.0,0.04,0.0,0.39,0.01,0.2,,,,,,,,,,,,,,,,
252,"[822, 168, 82, 101]",0.95,0.0,0.04,0.0,0.0,0.0,0.0,"[332, 127, 70, 104]",0.71,0.0,0.02,0.0,0.12,0.0,0.14,"[277, 599, 25, 26]",0.04,0.02,0.12,0.11,0.35,0.01,0.37,,,,,,,,
253,"[334, 115, 82, 107]",0.04,0.0,0.02,0.0,0.25,0.0,0.69,"[825, 173, 79, 94]",0.08,0.0,0.01,0.86,0.02,0.0,0.03,,,,,,,,,,,,,,,,
254,"[324, 109, 87, 111]",0.06,0.0,0.04,0.0,0.27,0.0,0.62,"[812, 170, 80, 94]",0.07,0.0,0.14,0.01,0.77,0.0,0.01,,,,,,,,,,,,,,,,
255,"[324, 116, 85, 108]",0.04,0.0,0.02,0.0,0.24,0.0,0.7,"[824, 159, 84, 102]",0.63,0.0,0.11,0.07,0.17,0.0,0.02,"[188, 373, 27, 31]",0.1,0.0,0.08,0.18,0.56,0.02,0.06,,,,,,,,
256,"[818, 173, 81, 97]",0.16,0.0,0.04,0.46,0.09,0.0,0.26,"[323, 107, 86, 107]",0.05,0.0,0.01,0.01,0.07,0.0,0.87,"[186, 353, 21, 24]",0.2,0.0,0.05,0.21,0.35,0.01,0.18,,,,,,,,
257,"[827, 176, 75, 92]",0.63,0.01,0.15,0.07,0.12,0.01,0.02,"[329, 112, 83, 108]",0.17,0.0,0.02,0.0,0.14,0.0,0.67,,,,,,,,,,,,,,,,
258,"[844, 170, 79, 97]",0.73,0.0,0.16,0.03,0.06,0.0,0.01,"[324, 104, 84, 107]",0.21,0.0,0.03,0.0,0.13,0.0,0.62,"[187, 373, 26, 28]",0.15,0.0,0.05,0.35,0.38,0.0,0.07,,,,,,,,
259,"[827, 167, 82, 98]",0.52,0.0,0.08,0.09,0.14,0.0,0.17,"[324, 108, 83, 108]",0.16,0.0,0.02,0.01,0.1,0.0,0.71,,,,,,,,,,,,,,,,
260,"[320, 109, 81, 107]",0.09,0.0,0.01,0.0,0.12,0.0,0.78,"[819, 168, 80, 98]",0.23,0.0,0.11,0.13,0.52,0.0,0.01,,,,,,,,,,,,,,,,
