,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
15,"[355, 273, 130, 150]",0.49,0.0,0.06,0.12,0.21,0.04,0.08,"[550, 314, 159, 189]",0.52,0.0,0.08,0.03,0.22,0.04,0.1,"[85, 100, 54, 70]",0.48,0.01,0.04,0.08,0.27,0.1,0.02,"[824, 190, 78, 103]",0.18,0.0,0.04,0.01,0.55,0.02,0.21,"[585, 199, 67, 83]",0.06,0.0,0.07,0.0,0.72,0.0,0.16,"[245, 123, 52, 63]",0.38,0.03,0.04,0.12,0.29,0.11,0.04,"[715, 120, 47, 55]",0.22,0.01,0.06,0.28,0.3,0.1,0.04,"[205, 116, 60, 74]",0.57,0.02,0.06,0.06,0.16,0.09,0.04,"[394, 107, 58, 72]",0.54,0.01,0.06,0.06,0.27,0.03,0.04,"[824, 312, 112, 131]",0.38,0.0,0.02,0.05,0.47,0.02,0.06,"[440, 137, 75, 91]",0.68,0.0,0.04,0.06,0.15,0.03,0.03,"[52, 96, 48, 60]",0.42,0.0,0.06,0.12,0.35,0.02,0.02,"[281, 162, 82, 114]",0.1,0.0,0.09,0.0,0.68,0.05,0.08,"[985, 435, 126, 162]",0.66,0.0,0.02,0.08,0.14,0.02,0.08
16,"[495, 91, 151, 185]",0.03,0.0,0.04,0.0,0.02,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[498, 104, 143, 178]",0.05,0.0,0.01,0.02,0.01,0.04,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[482, 108, 150, 181]",0.07,0.0,0.06,0.01,0.02,0.05,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[490, 110, 153, 182]",0.03,0.0,0.01,0.0,0.03,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[513, 109, 146, 185]",0.11,0.0,0.11,0.03,0.07,0.04,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[832, 327, 145, 180]",0.66,0.0,0.03,0.02,0.13,0.05,0.1,"[141, 217, 79, 95]",0.25,0.0,0.07,0.06,0.44,0.15,0.02,"[668, 125, 56, 69]",0.55,0.0,0.06,0.07,0.2,0.09,0.03,"[989, 23, 45, 55]",0.25,0.0,0.06,0.15,0.44,0.09,0.01,"[624, 285, 121, 145]",0.48,0.0,0.03,0.18,0.26,0.02,0.04,"[356, 119, 53, 69]",0.46,0.0,0.04,0.07,0.32,0.09,0.02,"[1074, 152, 54, 69]",0.32,0.01,0.07,0.06,0.52,0.01,0.01,"[41, 169, 63, 78]",0.39,0.01,0.04,0.17,0.2,0.13,0.06,"[201, 274, 113, 152]",0.51,0.01,0.05,0.05,0.23,0.11,0.04,"[474, 134, 58, 72]",0.35,0.01,0.09,0.07,0.26,0.17,0.05,"[513, 135, 60, 74]",0.35,0.04,0.07,0.06,0.26,0.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,
22,"[1053, 330, 138, 171]",0.57,0.0,0.05,0.05,0.2,0.05,0.07,"[366, 219, 77, 92]",0.22,0.0,0.07,0.05,0.49,0.16,0.02,"[847, 286, 126, 151]",0.47,0.0,0.04,0.14,0.23,0.05,0.06,"[571, 119, 61, 74]",0.42,0.0,0.05,0.06,0.34,0.1,0.03,"[265, 166, 72, 89]",0.35,0.0,0.04,0.2,0.29,0.07,0.04,"[425, 276, 110, 147]",0.46,0.01,0.05,0.06,0.24,0.13,0.06,"[768, 186, 80, 106]",0.23,0.01,0.09,0.0,0.56,0.07,0.05,"[732, 142, 51, 62]",0.34,0.02,0.03,0.11,0.34,0.12,0.03,"[694, 134, 59, 75]",0.41,0.02,0.09,0.05,0.21,0.18,0.04,"[1204, 132, 52, 65]",0.13,0.0,0.12,0.09,0.54,0.09,0.02,"[885, 130, 60, 73]",0.42,0.0,0.08,0.03,0.38,0.04,0.05,"[219, 310, 151, 199]",0.47,0.0,0.06,0.1,0.22,0.09,0.07,,,,,,,,,,,,,,,,
23,"[536, 142, 74, 89]",0.41,0.0,0.04,0.19,0.25,0.08,0.03,"[697, 253, 112, 150]",0.49,0.01,0.04,0.08,0.19,0.15,0.04,"[970, 107, 58, 72]",0.33,0.03,0.09,0.07,0.24,0.21,0.03,"[637, 198, 68, 81]",0.32,0.0,0.07,0.05,0.4,0.11,0.04,"[861, 92, 53, 68]",0.53,0.0,0.05,0.07,0.25,0.07,0.02,"[1118, 266, 111, 126]",0.59,0.0,0.04,0.05,0.27,0.01,0.03,"[1007, 109, 53, 67]",0.34,0.02,0.04,0.13,0.31,0.14,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[552, 97, 144, 185]",0.08,0.0,0.02,0.0,0.01,0.01,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[558, 99, 145, 180]",0.04,0.0,0.06,0.43,0.03,0.04,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[546, 93, 144, 189]",0.06,0.0,0.1,0.28,0.02,0.24,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[551, 104, 134, 166]",0.06,0.0,0.1,0.04,0.08,0.02,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[568, 101, 144, 181]",0.16,0.0,0.18,0.01,0.02,0.05,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[556, 98, 151, 191]",0.14,0.0,0.03,0.17,0.03,0.07,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[570, 97, 145, 180]",0.04,0.0,0.06,0.41,0.01,0.13,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[568, 91, 145, 188]",0.01,0.0,0.0,0.01,0.01,0.01,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[541, 102, 151, 179]",0.84,0.0,0.01,0.0,0.02,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[556, 100, 146, 182]",0.15,0.0,0.05,0.04,0.07,0.01,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[564, 93, 139, 179]",0.23,0.0,0.16,0.0,0.09,0.08,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
