,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16,box17,angry17,disgust17,fear17,happy17,sad17,surprise17,neutral17
205,"[152, 440, 43, 52]",0.01,0.0,0.03,0.43,0.03,0.07,0.43,"[499, 142, 137, 180]",0.19,0.0,0.16,0.23,0.28,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"[490, 141, 137, 184]",0.26,0.0,0.37,0.05,0.19,0.12,0.01,"[151, 437, 44, 55]",0.47,0.0,0.19,0.01,0.02,0.28,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"[500, 132, 137, 180]",0.13,0.0,0.33,0.21,0.15,0.17,0.02,"[167, 442, 43, 56]",0.19,0.0,0.21,0.03,0.37,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"[510, 150, 132, 182]",0.52,0.01,0.15,0.0,0.26,0.05,0.01,"[171, 447, 42, 55]",0.33,0.0,0.11,0.0,0.19,0.01,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"[170, 442, 42, 55]",0.06,0.0,0.16,0.01,0.1,0.4,0.28,"[505, 124, 136, 194]",0.27,0.0,0.15,0.01,0.01,0.56,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"[515, 145, 129, 166]",0.15,0.0,0.31,0.07,0.14,0.03,0.31,"[164, 447, 43, 54]",0.05,0.0,0.05,0.0,0.26,0.11,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"[147, 442, 43, 54]",0.51,0.0,0.02,0.21,0.01,0.18,0.06,"[503, 156, 137, 176]",0.08,0.0,0.47,0.05,0.05,0.27,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"[166, 444, 42, 50]",0.4,0.01,0.16,0.02,0.23,0.01,0.17,"[495, 141, 137, 192]",0.29,0.0,0.47,0.0,0.21,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"[494, 147, 134, 181]",0.01,0.0,0.08,0.0,0.01,0.9,0.0,"[152, 448, 42, 56]",0.22,0.05,0.09,0.05,0.08,0.29,0.21,"[395, 342, 28, 32]",0.02,0.0,0.04,0.0,0.91,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"[157, 448, 42, 54]",0.06,0.0,0.06,0.0,0.02,0.85,0.01,"[493, 152, 141, 182]",0.0,0.0,0.0,0.93,0.0,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"[497, 158, 132, 172]",0.0,0.0,0.0,0.93,0.01,0.0,0.06,"[167, 442, 43, 55]",0.01,0.0,0.22,0.02,0.1,0.42,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"[494, 139, 140, 192]",0.03,0.0,0.07,0.59,0.01,0.29,0.01,"[161, 449, 42, 56]",0.04,0.0,0.05,0.0,0.01,0.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"[511, 151, 139, 192]",0.08,0.0,0.16,0.34,0.02,0.39,0.01,"[140, 442, 44, 60]",0.0,0.0,0.01,0.01,0.0,0.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"[493, 160, 138, 180]",0.1,0.0,0.49,0.01,0.08,0.26,0.05,"[150, 449, 42, 53]",0.09,0.01,0.18,0.09,0.1,0.36,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"[502, 139, 129, 173]",0.42,0.0,0.29,0.02,0.17,0.02,0.09,"[134, 459, 43, 53]",0.19,0.0,0.01,0.0,0.51,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"[163, 448, 43, 56]",0.13,0.0,0.05,0.01,0.2,0.0,0.61,"[495, 149, 130, 171]",0.11,0.0,0.16,0.17,0.43,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"[148, 436, 46, 60]",0.0,0.0,0.02,0.01,0.0,0.97,0.0,"[497, 144, 133, 177]",0.04,0.0,0.38,0.0,0.07,0.44,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"[149, 437, 45, 55]",0.14,0.0,0.39,0.03,0.1,0.07,0.28,"[495, 135, 133, 186]",0.17,0.0,0.15,0.13,0.06,0.49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"[493, 138, 131, 172]",0.03,0.0,0.06,0.32,0.06,0.03,0.51,"[155, 448, 43, 55]",0.03,0.0,0.04,0.11,0.16,0.16,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"[489, 143, 137, 187]",0.22,0.0,0.2,0.45,0.05,0.08,0.01,"[162, 447, 41, 57]",0.0,0.0,0.01,0.04,0.0,0.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,"[189, 448, 39, 50]",0.07,0.0,0.03,0.02,0.54,0.0,0.34,"[502, 145, 137, 179]",0.07,0.0,0.04,0.34,0.04,0.03,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,"[508, 158, 139, 182]",0.28,0.0,0.14,0.02,0.14,0.03,0.37,"[145, 437, 45, 54]",0.11,0.0,0.13,0.2,0.23,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"[505, 146, 142, 185]",0.21,0.0,0.14,0.2,0.25,0.02,0.18,"[186, 440, 42, 55]",0.01,0.0,0.1,0.0,0.01,0.86,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,"[496, 145, 140, 198]",0.26,0.0,0.05,0.27,0.35,0.06,0.02,"[153, 439, 47, 60]",0.37,0.01,0.05,0.03,0.07,0.42,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"[504, 152, 137, 175]",0.08,0.0,0.05,0.15,0.29,0.0,0.42,"[151, 444, 42, 52]",0.02,0.0,0.06,0.05,0.02,0.74,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,"[499, 131, 140, 190]",0.58,0.0,0.16,0.09,0.09,0.07,0.02,"[162, 442, 42, 50]",0.06,0.0,0.08,0.04,0.1,0.03,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"[146, 452, 40, 52]",0.07,0.0,0.29,0.01,0.51,0.04,0.09,"[508, 151, 136, 175]",0.04,0.0,0.19,0.08,0.07,0.17,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,"[138, 451, 41, 53]",0.17,0.0,0.12,0.01,0.11,0.32,0.27,"[492, 147, 137, 195]",0.06,0.0,0.02,0.82,0.01,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"[491, 150, 134, 185]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[148, 436, 41, 50]",0.05,0.0,0.21,0.04,0.13,0.11,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,"[169, 439, 44, 60]",0.05,0.0,0.07,0.0,0.01,0.86,0.01,"[485, 152, 139, 192]",0.1,0.01,0.05,0.34,0.05,0.32,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"[483, 143, 136, 191]",0.22,0.0,0.18,0.36,0.07,0.16,0.01,"[149, 443, 41, 55]",0.3,0.01,0.39,0.01,0.13,0.06,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,"[495, 140, 126, 178]",0.1,0.0,0.46,0.03,0.15,0.05,0.21,"[170, 441, 46, 56]",0.17,0.0,0.06,0.35,0.1,0.03,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,"[165, 441, 41, 51]",0.16,0.0,0.2,0.01,0.15,0.02,0.45,"[505, 191, 123, 174]",0.12,0.0,0.4,0.11,0.33,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"[478, 209, 125, 165]",0.09,0.0,0.41,0.12,0.35,0.02,0.01,"[138, 452, 42, 50]",0.01,0.0,0.03,0.84,0.02,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"[485, 188, 119, 165]",0.05,0.0,0.37,0.37,0.17,0.03,0.02,"[148, 442, 42, 58]",0.01,0.0,0.01,0.61,0.01,0.26,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"[159, 432, 41, 49]",0.02,0.0,0.06,0.59,0.04,0.02,0.27,"[486, 172, 109, 164]",0.1,0.0,0.14,0.15,0.32,0.02,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,"[470, 154, 115, 172]",0.1,0.0,0.11,0.05,0.34,0.02,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"[471, 128, 129, 194]",0.02,0.0,0.08,0.51,0.1,0.18,0.12,"[120, 443, 43, 56]",0.12,0.0,0.02,0.54,0.01,0.27,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,"[188, 430, 42, 51]",0.08,0.0,0.0,0.9,0.0,0.0,0.01,"[475, 173, 104, 162]",0.08,0.0,0.16,0.2,0.2,0.02,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"[144, 439, 44, 57]",0.0,0.0,0.0,0.94,0.0,0.04,0.01,"[1039, 193, 48, 60]",0.16,0.0,0.04,0.12,0.32,0.03,0.34,"[462, 153, 32, 41]",0.46,0.0,0.07,0.07,0.27,0.0,0.13,"[221, 296, 28, 38]",0.04,0.0,0.12,0.34,0.21,0.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"[164, 445, 43, 55]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[465, 151, 28, 39]",0.14,0.0,0.0,0.04,0.26,0.0,0.55,"[215, 288, 30, 41]",0.05,0.0,0.04,0.01,0.83,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"[166, 446, 42, 55]",0.1,0.0,0.22,0.24,0.1,0.2,0.14,"[1038, 194, 48, 59]",0.08,0.0,0.03,0.05,0.35,0.0,0.48,"[228, 290, 27, 40]",0.08,0.0,0.06,0.23,0.44,0.01,0.18,"[457, 153, 29, 41]",0.67,0.0,0.01,0.02,0.22,0.01,0.08,"[847, 241, 35, 38]",0.04,0.01,0.03,0.02,0.5,0.02,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"[513, 159, 132, 172]",0.05,0.0,0.09,0.34,0.25,0.0,0.27,"[148, 441, 41, 52]",0.07,0.0,0.01,0.54,0.01,0.17,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,"[507, 147, 131, 172]",0.01,0.0,0.03,0.71,0.03,0.01,0.21,"[165, 439, 42, 56]",0.01,0.0,0.01,0.51,0.0,0.47,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,"[510, 142, 128, 176]",0.01,0.0,0.02,0.73,0.01,0.02,0.2,"[145, 440, 42, 57]",0.01,0.0,0.01,0.88,0.05,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,"[508, 139, 128, 187]",0.09,0.0,0.16,0.09,0.36,0.03,0.29,"[167, 452, 41, 58]",0.03,0.0,0.11,0.15,0.01,0.69,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"[502, 141, 133, 182]",0.03,0.0,0.04,0.08,0.07,0.0,0.77,"[156, 440, 43, 56]",0.09,0.0,0.02,0.02,0.03,0.1,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"[511, 157, 135, 178]",0.07,0.0,0.1,0.26,0.13,0.05,0.39,"[129, 436, 42, 52]",0.04,0.0,0.0,0.91,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,"[522, 148, 138, 176]",0.06,0.0,0.15,0.13,0.06,0.05,0.57,"[163, 436, 42, 53]",0.26,0.03,0.09,0.07,0.21,0.03,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,"[516, 146, 137, 181]",0.07,0.0,0.02,0.34,0.06,0.01,0.5,"[150, 432, 43, 52]",0.03,0.0,0.13,0.12,0.05,0.19,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,"[517, 143, 136, 181]",0.01,0.0,0.02,0.87,0.0,0.01,0.09,"[127, 443, 43, 57]",0.04,0.0,0.04,0.02,0.05,0.15,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,"[530, 197, 126, 168]",0.05,0.09,0.07,0.19,0.4,0.0,0.2,"[180, 436, 42, 51]",0.01,0.0,0.04,0.06,0.03,0.04,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,"[518, 146, 132, 171]",0.18,0.0,0.17,0.2,0.16,0.01,0.28,"[150, 438, 43, 58]",0.03,0.0,0.01,0.28,0.0,0.65,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"[511, 148, 136, 181]",0.18,0.0,0.3,0.01,0.33,0.11,0.08,"[163, 441, 41, 53]",0.0,0.0,0.0,0.0,0.0,0.99,0.0,"[166, 502, 57, 72]",0.22,0.0,0.29,0.06,0.31,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"[505, 158, 130, 181]",0.63,0.0,0.06,0.06,0.11,0.01,0.12,"[154, 438, 42, 59]",0.08,0.0,0.16,0.04,0.02,0.69,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"[507, 170, 129, 176]",0.0,0.0,0.0,0.94,0.01,0.0,0.05,"[157, 442, 44, 56]",0.21,0.0,0.12,0.04,0.02,0.58,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,"[146, 444, 44, 56]",0.11,0.0,0.33,0.0,0.2,0.2,0.15,"[493, 124, 134, 190]",0.1,0.0,0.27,0.07,0.44,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,"[492, 153, 141, 186]",0.02,0.0,0.03,0.52,0.01,0.04,0.39,"[159, 434, 42, 52]",0.29,0.0,0.05,0.02,0.32,0.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,"[138, 442, 41, 51]",0.3,0.04,0.2,0.0,0.28,0.01,0.17,"[481, 166, 135, 181]",0.01,0.0,0.0,0.9,0.0,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,"[147, 440, 41, 49]",0.02,0.0,0.02,0.51,0.13,0.0,0.31,"[478, 143, 133, 192]",0.13,0.0,0.17,0.26,0.04,0.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,"[144, 446, 43, 52]",0.21,0.0,0.27,0.0,0.14,0.18,0.18,"[488, 154, 133, 180]",0.02,0.0,0.01,0.85,0.03,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
