,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
10,"[512, 153, 329, 407]",0.17,0.0,0.43,0.09,0.22,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[530, 134, 314, 397]",0.06,0.0,0.21,0.05,0.35,0.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[504, 127, 314, 395]",0.24,0.0,0.17,0.04,0.29,0.08,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[833, 285, 30, 39]",0.06,0.0,0.2,0.03,0.63,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[676, 265, 105, 132]",0.0,0.0,0.0,0.53,0.01,0.0,0.45,"[530, 288, 120, 144]",0.08,0.0,0.02,0.41,0.03,0.44,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[666, 291, 107, 130]",0.0,0.0,0.0,0.96,0.0,0.0,0.04,"[333, 65, 153, 188]",0.08,0.0,0.01,0.9,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[489, 219, 74, 93]",0.03,0.07,0.06,0.54,0.17,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[589, 143, 131, 165]",0.45,0.0,0.13,0.06,0.13,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[523, 133, 315, 407]",0.15,0.0,0.5,0.0,0.04,0.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[492, 153, 320, 406]",0.22,0.01,0.01,0.09,0.23,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[494, 162, 328, 415]",0.44,0.01,0.17,0.05,0.23,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[495, 149, 322, 413]",0.29,0.0,0.14,0.05,0.26,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[469, 155, 332, 412]",0.16,0.0,0.38,0.08,0.07,0.08,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[488, 140, 327, 412]",0.13,0.0,0.08,0.63,0.04,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[494, 177, 313, 396]",0.35,0.0,0.31,0.09,0.14,0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[487, 132, 330, 424]",0.13,0.0,0.49,0.15,0.15,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[494, 146, 322, 405]",0.17,0.0,0.39,0.17,0.09,0.16,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[489, 156, 321, 404]",0.19,0.0,0.51,0.03,0.06,0.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[516, 161, 325, 409]",0.12,0.0,0.42,0.01,0.08,0.31,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[455, 149, 327, 412]",0.3,0.0,0.2,0.08,0.1,0.05,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[460, 174, 336, 423]",0.29,0.0,0.17,0.17,0.08,0.21,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[478, 150, 331, 411]",0.1,0.0,0.11,0.45,0.17,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[499, 182, 316, 393]",0.13,0.01,0.38,0.07,0.22,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[495, 187, 318, 408]",0.27,0.0,0.2,0.16,0.17,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[513, 159, 328, 414]",0.38,0.0,0.04,0.05,0.52,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[510, 169, 329, 421]",0.38,0.0,0.14,0.18,0.12,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[542, 124, 322, 402]",0.21,0.0,0.05,0.04,0.49,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[525, 141, 323, 406]",0.18,0.0,0.3,0.07,0.14,0.03,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[495, 152, 327, 412]",0.34,0.0,0.11,0.03,0.09,0.01,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[501, 177, 313, 396]",0.25,0.0,0.17,0.39,0.09,0.03,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[921, 331, 67, 79]",0.36,0.01,0.15,0.21,0.23,0.03,0.01,"[234, 238, 66, 81]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[518, 249, 64, 80]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,"[375, 240, 57, 69]",0.01,0.0,0.47,0.0,0.18,0.07,0.26,"[721, 370, 68, 90]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[926, 478, 73, 91]",0.0,0.0,0.0,0.99,0.0,0.01,0.0,"[578, 336, 68, 85]",0.0,0.0,0.0,0.99,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
41,"[474, 224, 84, 104]",0.02,0.0,0.0,0.96,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[447, 214, 57, 69]",0.07,0.0,0.06,0.03,0.67,0.0,0.16,"[735, 187, 72, 88]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[347, 195, 70, 86]",0.0,0.0,0.0,0.97,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[172, 147, 345, 413]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[166, 126, 329, 406]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[608, 88, 111, 134]",0.0,0.0,0.0,0.98,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[468, 112, 288, 361]",0.32,0.0,0.22,0.05,0.08,0.02,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[494, 137, 270, 337]",0.17,0.0,0.5,0.01,0.18,0.04,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[497, 141, 265, 335]",0.25,0.0,0.24,0.03,0.16,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[458, 130, 289, 377]",0.3,0.0,0.28,0.03,0.14,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[481, 143, 267, 334]",0.24,0.0,0.45,0.0,0.24,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[462, 134, 281, 355]",0.4,0.0,0.15,0.03,0.12,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[454, 140, 283, 363]",0.3,0.0,0.09,0.1,0.1,0.02,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[457, 126, 285, 376]",0.36,0.0,0.32,0.03,0.09,0.12,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[499, 95, 287, 358]",0.33,0.0,0.28,0.01,0.2,0.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[504, 133, 264, 333]",0.3,0.0,0.51,0.0,0.05,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"[455, 129, 288, 370]",0.41,0.0,0.14,0.05,0.12,0.07,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[456, 133, 288, 359]",0.04,0.0,0.02,0.16,0.06,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[494, 130, 264, 342]",0.35,0.0,0.43,0.01,0.12,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[505, 135, 267, 340]",0.35,0.0,0.36,0.02,0.05,0.2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[497, 137, 268, 347]",0.64,0.01,0.11,0.01,0.15,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[471, 160, 271, 338]",0.34,0.01,0.27,0.03,0.1,0.03,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[454, 126, 286, 372]",0.28,0.0,0.1,0.11,0.13,0.02,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[646, 123, 169, 209]",0.01,0.0,0.01,0.94,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[493, 130, 313, 393]",0.25,0.0,0.51,0.0,0.13,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[489, 142, 296, 379]",0.29,0.01,0.26,0.05,0.24,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"[448, 112, 327, 414]",0.26,0.0,0.12,0.04,0.26,0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[478, 156, 318, 420]",0.77,0.02,0.07,0.01,0.07,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[482, 136, 321, 408]",0.39,0.0,0.27,0.07,0.14,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[477, 132, 325, 408]",0.32,0.0,0.29,0.06,0.16,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[467, 150, 320, 410]",0.37,0.0,0.08,0.1,0.14,0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"[492, 109, 309, 390]",0.3,0.0,0.19,0.03,0.19,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[496, 116, 323, 421]",0.4,0.0,0.41,0.03,0.11,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[470, 152, 313, 401]",0.47,0.0,0.04,0.02,0.15,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[469, 160, 314, 396]",0.26,0.0,0.02,0.07,0.1,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[484, 137, 315, 396]",0.38,0.01,0.07,0.08,0.12,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[474, 126, 323, 411]",0.38,0.0,0.36,0.12,0.09,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[437, 149, 322, 401]",0.37,0.0,0.32,0.09,0.07,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[443, 137, 327, 411]",0.32,0.0,0.4,0.06,0.16,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[440, 132, 314, 396]",0.12,0.0,0.11,0.18,0.32,0.02,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[422, 174, 323, 403]",0.27,0.0,0.24,0.25,0.04,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[449, 129, 325, 412]",0.38,0.0,0.26,0.19,0.1,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"[473, 170, 317, 403]",0.67,0.0,0.17,0.05,0.03,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[460, 158, 323, 408]",0.31,0.0,0.23,0.05,0.08,0.02,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[482, 131, 325, 414]",0.28,0.0,0.42,0.02,0.22,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[468, 174, 327, 419]",0.51,0.0,0.14,0.11,0.06,0.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[672, 130, 42, 49]",0.13,0.0,0.01,0.08,0.03,0.0,0.75,"[524, 117, 41, 56]",0.26,0.0,0.05,0.16,0.16,0.0,0.37,"[293, 28, 27, 36]",0.22,0.0,0.0,0.06,0.01,0.0,0.71,"[826, 133, 44, 59]",0.1,0.0,0.04,0.05,0.11,0.0,0.7,"[613, 35, 24, 33]",0.02,0.0,0.02,0.9,0.02,0.01,0.03,"[397, 28, 34, 47]",0.03,0.0,0.01,0.84,0.0,0.02,0.09,"[714, 32, 28, 37]",0.12,0.01,0.24,0.04,0.44,0.05,0.11,"[514, 30, 17, 24]",0.21,0.0,0.32,0.09,0.29,0.04,0.05,"[401, 128, 46, 66]",0.16,0.0,0.26,0.02,0.36,0.03,0.17,,,,,,,,
87,"[825, 139, 43, 54]",0.4,0.0,0.03,0.01,0.15,0.0,0.4,"[289, 29, 29, 38]",0.19,0.0,0.01,0.1,0.02,0.0,0.68,"[610, 37, 24, 32]",0.1,0.0,0.09,0.6,0.12,0.03,0.07,"[670, 130, 40, 50]",0.36,0.0,0.02,0.07,0.05,0.01,0.49,"[518, 114, 42, 57]",0.36,0.0,0.02,0.02,0.16,0.0,0.44,"[396, 31, 32, 44]",0.02,0.0,0.0,0.89,0.0,0.01,0.08,"[404, 134, 38, 52]",0.08,0.0,0.15,0.02,0.26,0.01,0.49,"[511, 32, 17, 22]",0.45,0.0,0.32,0.06,0.11,0.01,0.04,"[710, 31, 31, 40]",0.04,0.0,0.3,0.01,0.49,0.09,0.06,,,,,,,,
88,"[522, 118, 44, 57]",0.19,0.0,0.02,0.2,0.1,0.0,0.49,"[292, 28, 27, 36]",0.07,0.0,0.0,0.09,0.01,0.0,0.83,"[824, 134, 46, 60]",0.27,0.0,0.08,0.07,0.12,0.0,0.46,"[671, 131, 41, 51]",0.27,0.0,0.04,0.11,0.05,0.01,0.51,"[612, 36, 24, 33]",0.03,0.0,0.02,0.86,0.03,0.02,0.04,"[404, 124, 38, 54]",0.09,0.0,0.19,0.08,0.29,0.02,0.33,"[513, 31, 17, 23]",0.36,0.0,0.24,0.05,0.25,0.02,0.07,"[397, 28, 33, 47]",0.02,0.0,0.0,0.9,0.0,0.01,0.07,"[711, 32, 33, 40]",0.14,0.0,0.22,0.06,0.4,0.02,0.15,"[531, 159, 41, 51]",0.08,0.0,0.22,0.07,0.45,0.02,0.16
89,"[434, 190, 313, 404]",0.65,0.01,0.07,0.06,0.08,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[449, 137, 318, 416]",0.38,0.0,0.29,0.04,0.2,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[496, 124, 308, 385]",0.5,0.0,0.08,0.0,0.25,0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"[480, 171, 312, 404]",0.43,0.0,0.14,0.13,0.21,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"[479, 159, 316, 405]",0.51,0.01,0.17,0.1,0.11,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"[460, 144, 317, 401]",0.37,0.0,0.44,0.02,0.11,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"[466, 174, 318, 411]",0.12,0.0,0.05,0.24,0.11,0.01,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"[477, 158, 323, 403]",0.32,0.0,0.03,0.05,0.19,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"[469, 153, 317, 404]",0.39,0.0,0.17,0.11,0.17,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"[463, 167, 319, 401]",0.12,0.0,0.02,0.09,0.15,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"[466, 165, 315, 403]",0.28,0.0,0.17,0.09,0.13,0.01,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"[473, 147, 316, 401]",0.34,0.0,0.29,0.05,0.2,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"[496, 147, 314, 398]",0.26,0.01,0.04,0.03,0.54,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"[501, 163, 316, 406]",0.52,0.0,0.13,0.14,0.1,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"[492, 149, 310, 409]",0.52,0.0,0.11,0.0,0.26,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
