,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
269,"[635, 167, 177, 238]",0.5,0.06,0.28,0.0,0.12,0.01,0.03,"[705, 115, 275, 358]",0.35,0.0,0.15,0.03,0.39,0.0,0.07,,,,,,,,
270,"[648, 180, 158, 207]",0.13,0.0,0.14,0.0,0.7,0.0,0.02,"[702, 119, 260, 338]",0.15,0.0,0.16,0.05,0.47,0.01,0.16,,,,,,,,
271,"[618, 172, 176, 236]",0.83,0.01,0.1,0.0,0.04,0.01,0.02,"[22, 371, 30, 34]",0.45,0.0,0.15,0.08,0.28,0.01,0.03,,,,,,,,
272,"[614, 184, 178, 232]",0.09,0.0,0.45,0.0,0.37,0.03,0.05,"[684, 99, 284, 367]",0.1,0.0,0.15,0.06,0.24,0.0,0.45,"[7, 371, 30, 32]",0.42,0.0,0.14,0.07,0.34,0.01,0.03
273,"[558, 121, 197, 257]",0.28,0.0,0.06,0.0,0.62,0.0,0.04,"[12, 371, 30, 32]",0.4,0.0,0.11,0.17,0.27,0.01,0.04,,,,,,,,
274,"[643, 224, 176, 226]",0.02,0.01,0.33,0.0,0.62,0.0,0.02,"[7, 368, 34, 38]",0.38,0.0,0.14,0.1,0.34,0.0,0.03,,,,,,,,
275,"[561, 180, 181, 237]",0.41,0.01,0.27,0.0,0.28,0.0,0.02,"[703, 92, 276, 380]",0.06,0.0,0.17,0.65,0.02,0.02,0.08,,,,,,,,
276,"[560, 182, 178, 229]",0.25,0.01,0.34,0.0,0.37,0.0,0.03,"[703, 96, 275, 371]",0.04,0.0,0.07,0.74,0.02,0.01,0.11,,,,,,,,
277,"[647, 175, 170, 230]",0.84,0.01,0.09,0.0,0.05,0.0,0.01,,,,,,,,,,,,,,,,
278,"[632, 160, 171, 230]",0.37,0.01,0.38,0.0,0.15,0.06,0.03,"[1053, 302, 45, 51]",0.1,0.0,0.14,0.18,0.11,0.01,0.45,,,,,,,,
