,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
312,"[611, 162, 159, 191]",0.12,0.0,0.02,0.0,0.33,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,
313,"[629, 123, 156, 195]",0.24,0.0,0.05,0.12,0.15,0.01,0.43,,,,,,,,,,,,,,,,,,,,,,,,
314,"[564, 118, 155, 190]",0.21,0.0,0.05,0.09,0.2,0.11,0.35,,,,,,,,,,,,,,,,,,,,,,,,
315,"[595, 125, 152, 184]",0.05,0.0,0.01,0.01,0.07,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,
316,"[602, 123, 156, 188]",0.62,0.0,0.08,0.0,0.11,0.03,0.16,,,,,,,,,,,,,,,,,,,,,,,,
317,"[608, 118, 135, 168]",0.32,0.0,0.08,0.0,0.38,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,
318,"[610, 143, 157, 200]",0.63,0.0,0.02,0.0,0.06,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,
319,"[639, 131, 149, 193]",0.72,0.0,0.06,0.0,0.08,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,
320,"[601, 155, 153, 200]",0.34,0.05,0.04,0.06,0.14,0.0,0.37,"[355, 639, 56, 63]",0.4,0.0,0.1,0.01,0.38,0.03,0.08,,,,,,,,,,,,,,,,
321,"[599, 142, 153, 185]",0.36,0.0,0.02,0.0,0.12,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,
322,"[615, 141, 150, 186]",0.51,0.0,0.02,0.0,0.08,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,
323,"[585, 144, 168, 206]",0.14,0.0,0.11,0.0,0.28,0.04,0.43,,,,,,,,,,,,,,,,,,,,,,,,
324,"[629, 123, 158, 196]",0.23,0.0,0.05,0.02,0.33,0.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,
325,"[659, 127, 155, 193]",0.19,0.01,0.17,0.01,0.44,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,
326,"[598, 117, 158, 205]",0.26,0.0,0.44,0.0,0.15,0.09,0.06,,,,,,,,,,,,,,,,,,,,,,,,
327,"[573, 109, 166, 207]",0.11,0.0,0.3,0.0,0.33,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,
328,"[522, 130, 171, 205]",0.17,0.0,0.27,0.0,0.4,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,
329,"[507, 137, 161, 201]",0.21,0.01,0.17,0.0,0.36,0.04,0.21,,,,,,,,,,,,,,,,,,,,,,,,
330,"[490, 103, 156, 197]",0.07,0.0,0.34,0.05,0.1,0.36,0.08,,,,,,,,,,,,,,,,,,,,,,,,
331,"[313, 162, 161, 196]",0.1,0.0,0.33,0.03,0.12,0.25,0.17,,,,,,,,,,,,,,,,,,,,,,,,
332,"[636, 113, 155, 202]",0.26,0.0,0.09,0.01,0.43,0.0,0.19,"[832, 666, 30, 35]",0.77,0.0,0.11,0.0,0.07,0.0,0.04,"[884, 687, 31, 35]",0.07,0.0,0.09,0.45,0.18,0.0,0.2,,,,,,,,
333,"[569, 114, 163, 201]",0.41,0.0,0.15,0.0,0.09,0.12,0.23,"[827, 666, 31, 35]",0.67,0.0,0.08,0.1,0.11,0.0,0.04,"[882, 685, 29, 33]",0.34,0.0,0.11,0.03,0.37,0.01,0.14,,,,,,,,
334,"[590, 135, 166, 206]",0.06,0.0,0.02,0.0,0.13,0.0,0.78,"[827, 669, 32, 36]",0.64,0.0,0.03,0.25,0.05,0.01,0.03,"[881, 687, 30, 32]",0.21,0.0,0.03,0.11,0.43,0.01,0.2,,,,,,,,
335,"[514, 127, 161, 199]",0.4,0.0,0.06,0.0,0.16,0.03,0.34,,,,,,,,,,,,,,,,,,,,,,,,
336,"[565, 143, 151, 198]",0.59,0.0,0.03,0.0,0.24,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,
337,"[687, 126, 150, 194]",0.34,0.0,0.13,0.07,0.18,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,
338,"[526, 115, 145, 177]",0.08,0.0,0.3,0.01,0.28,0.15,0.18,"[270, 522, 42, 52]",0.05,0.0,0.22,0.07,0.42,0.04,0.21,,,,,,,,,,,,,,,,
339,"[533, 105, 148, 192]",0.36,0.0,0.21,0.01,0.21,0.06,0.14,"[304, 555, 41, 56]",0.06,0.0,0.06,0.61,0.14,0.01,0.12,,,,,,,,,,,,,,,,
340,"[307, 552, 40, 52]",0.09,0.0,0.36,0.18,0.23,0.03,0.11,"[500, 106, 146, 181]",0.25,0.0,0.08,0.01,0.29,0.0,0.36,,,,,,,,,,,,,,,,
341,"[542, 124, 151, 184]",0.22,0.0,0.04,0.01,0.25,0.01,0.45,"[311, 560, 40, 54]",0.09,0.0,0.37,0.21,0.27,0.01,0.07,,,,,,,,,,,,,,,,
342,"[548, 121, 150, 190]",0.46,0.0,0.05,0.02,0.07,0.03,0.38,"[312, 568, 41, 55]",0.12,0.0,0.15,0.28,0.25,0.0,0.2,,,,,,,,,,,,,,,,
343,"[514, 104, 147, 188]",0.08,0.0,0.57,0.01,0.22,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,
344,"[444, 138, 142, 179]",0.22,0.01,0.28,0.11,0.15,0.07,0.17,,,,,,,,,,,,,,,,,,,,,,,,
345,"[585, 112, 155, 192]",0.32,0.0,0.1,0.01,0.47,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,
346,"[591, 133, 151, 190]",0.62,0.0,0.04,0.0,0.11,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,
347,"[668, 106, 145, 184]",0.21,0.0,0.05,0.0,0.29,0.0,0.44,"[699, 558, 81, 105]",0.0,0.0,0.09,0.0,0.13,0.0,0.79,,,,,,,,,,,,,,,,
348,"[565, 103, 158, 199]",0.16,0.0,0.26,0.01,0.16,0.11,0.3,,,,,,,,,,,,,,,,,,,,,,,,
349,"[641, 123, 164, 209]",0.12,0.0,0.47,0.0,0.22,0.02,0.17,"[600, 607, 69, 89]",0.04,0.0,0.11,0.01,0.38,0.0,0.46,,,,,,,,,,,,,,,,
