,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
35,"[595, 122, 118, 148]",0.07,0.0,0.27,0.33,0.13,0.12,0.09,"[1083, 95, 54, 67]",0.1,0.0,0.1,0.59,0.14,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[598, 122, 118, 150]",0.09,0.0,0.36,0.19,0.23,0.08,0.05,"[1083, 95, 54, 67]",0.1,0.0,0.1,0.59,0.14,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[598, 123, 117, 148]",0.17,0.0,0.47,0.06,0.21,0.07,0.03,"[1083, 95, 54, 67]",0.1,0.0,0.1,0.58,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[600, 124, 113, 142]",0.13,0.0,0.25,0.1,0.16,0.3,0.07,"[1083, 95, 54, 67]",0.1,0.0,0.1,0.59,0.15,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[592, 117, 118, 150]",0.08,0.0,0.26,0.41,0.07,0.13,0.05,"[1083, 95, 54, 67]",0.09,0.0,0.1,0.58,0.16,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[588, 114, 120, 151]",0.14,0.0,0.21,0.42,0.09,0.07,0.07,"[1083, 95, 54, 67]",0.09,0.0,0.11,0.58,0.16,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[589, 113, 119, 152]",0.26,0.0,0.13,0.19,0.08,0.06,0.28,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.56,0.17,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[585, 113, 120, 150]",0.33,0.0,0.4,0.02,0.09,0.08,0.08,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.56,0.16,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[585, 109, 122, 155]",0.07,0.0,0.3,0.25,0.06,0.06,0.27,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.56,0.16,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[585, 111, 122, 153]",0.15,0.0,0.47,0.12,0.07,0.1,0.09,"[1084, 96, 53, 66]",0.13,0.0,0.09,0.22,0.46,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[587, 109, 121, 157]",0.09,0.0,0.31,0.26,0.17,0.07,0.1,"[1083, 94, 53, 67]",0.11,0.0,0.06,0.3,0.38,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[587, 110, 121, 156]",0.1,0.0,0.31,0.14,0.2,0.12,0.13,"[1083, 94, 53, 67]",0.11,0.0,0.06,0.3,0.38,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[585, 109, 122, 155]",0.09,0.0,0.23,0.15,0.11,0.1,0.32,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[584, 112, 123, 156]",0.18,0.0,0.36,0.11,0.14,0.06,0.15,"[1083, 95, 54, 67]",0.09,0.0,0.1,0.59,0.17,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[581, 112, 121, 151]",0.06,0.0,0.17,0.03,0.13,0.02,0.59,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[574, 118, 121, 151]",0.13,0.0,0.11,0.25,0.15,0.08,0.28,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[566, 121, 122, 153]",0.13,0.0,0.21,0.14,0.1,0.35,0.07,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[572, 138, 119, 145]",0.09,0.0,0.38,0.24,0.07,0.13,0.1,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[583, 141, 119, 148]",0.1,0.0,0.54,0.03,0.05,0.11,0.18,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.16,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[586, 129, 121, 153]",0.13,0.0,0.1,0.18,0.04,0.1,0.45,"[1083, 95, 54, 67]",0.09,0.0,0.1,0.59,0.17,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[592, 120, 118, 154]",0.1,0.0,0.11,0.47,0.04,0.15,0.12,"[1083, 95, 54, 67]",0.08,0.0,0.09,0.62,0.15,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"[598, 124, 113, 143]",0.08,0.0,0.29,0.05,0.2,0.3,0.08,"[1083, 95, 54, 67]",0.09,0.0,0.11,0.55,0.19,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[596, 123, 115, 145]",0.11,0.0,0.22,0.21,0.2,0.14,0.12,"[1083, 95, 54, 67]",0.09,0.0,0.11,0.55,0.19,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[597, 116, 122, 160]",0.05,0.0,0.23,0.04,0.27,0.02,0.39,"[1083, 95, 54, 67]",0.1,0.0,0.11,0.58,0.16,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"[598, 117, 120, 149]",0.1,0.0,0.37,0.28,0.07,0.1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
