,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
42,"[645, 81, 132, 172]",0.13,0.0,0.42,0.02,0.13,0.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[663, 88, 123, 164]",0.27,0.0,0.33,0.08,0.05,0.04,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[660, 82, 121, 161]",0.13,0.0,0.17,0.22,0.09,0.04,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[660, 78, 127, 174]",0.28,0.0,0.37,0.02,0.07,0.05,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[665, 79, 122, 170]",0.23,0.0,0.33,0.08,0.1,0.06,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[662, 83, 127, 163]",0.24,0.0,0.21,0.12,0.07,0.04,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[573, 192, 58, 83]",0.24,0.0,0.09,0.08,0.42,0.01,0.15,"[117, 123, 57, 81]",0.17,0.01,0.07,0.26,0.41,0.03,0.05,"[1172, 294, 64, 74]",0.42,0.04,0.11,0.23,0.14,0.03,0.02,"[109, 313, 152, 195]",0.19,0.0,0.24,0.19,0.12,0.01,0.24,"[277, 203, 84, 104]",0.24,0.0,0.08,0.21,0.32,0.01,0.15,"[703, 274, 115, 145]",0.12,0.0,0.17,0.26,0.27,0.02,0.15
49,"[671, 79, 120, 168]",0.23,0.0,0.26,0.03,0.11,0.07,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[667, 87, 123, 167]",0.21,0.0,0.34,0.03,0.07,0.04,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[661, 87, 117, 157]",0.13,0.0,0.24,0.13,0.08,0.09,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[652, 78, 132, 171]",0.09,0.0,0.27,0.32,0.08,0.01,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[667, 71, 127, 180]",0.14,0.0,0.16,0.05,0.09,0.35,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
