,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
72,"[251, 96, 123, 170]",0.15,0.0,0.22,0.01,0.25,0.1,0.26,"[1012, 578, 117, 156]",0.19,0.0,0.03,0.07,0.15,0.01,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"[273, 80, 117, 172]",0.28,0.0,0.25,0.03,0.14,0.14,0.15,"[1019, 577, 112, 149]",0.16,0.0,0.02,0.03,0.12,0.03,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"[282, 111, 129, 182]",0.08,0.0,0.12,0.1,0.18,0.11,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"[1054, 578, 121, 156]",0.36,0.0,0.08,0.02,0.17,0.02,0.35,"[376, 101, 132, 191]",0.17,0.0,0.01,0.34,0.2,0.01,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[340, 92, 116, 163]",0.45,0.0,0.1,0.15,0.06,0.05,0.18,"[1073, 577, 114, 153]",0.43,0.0,0.08,0.08,0.11,0.07,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"[1034, 580, 114, 146]",0.21,0.0,0.07,0.02,0.14,0.05,0.52,"[326, 85, 118, 168]",0.22,0.0,0.13,0.04,0.21,0.02,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[1031, 568, 115, 156]",0.19,0.0,0.01,0.04,0.02,0.01,0.73,"[299, 90, 119, 168]",0.47,0.0,0.11,0.16,0.13,0.11,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[1048, 591, 100, 126]",0.06,0.0,0.19,0.02,0.41,0.01,0.31,"[314, 76, 118, 173]",0.56,0.0,0.22,0.09,0.07,0.06,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"[329, 70, 119, 178]",0.41,0.0,0.17,0.06,0.11,0.02,0.24,"[1038, 596, 114, 137]",0.22,0.0,0.22,0.01,0.48,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"[949, 503, 94, 133]",0.29,0.0,0.04,0.21,0.05,0.01,0.39,"[320, 123, 110, 149]",0.04,0.0,0.09,0.59,0.16,0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
