,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13,box14,angry14,disgust14,fear14,happy14,sad14,surprise14,neutral14,box15,angry15,disgust15,fear15,happy15,sad15,surprise15,neutral15,box16,angry16,disgust16,fear16,happy16,sad16,surprise16,neutral16
24,"[492, 67, 126, 164]",0.68,0.01,0.07,0.02,0.05,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[515, 137, 128, 166]",0.52,0.0,0.04,0.02,0.41,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[509, 153, 116, 144]",0.86,0.03,0.03,0.0,0.05,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[503, 137, 130, 157]",0.81,0.02,0.01,0.01,0.08,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[552, 77, 140, 171]",0.97,0.0,0.01,0.01,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[537, 91, 128, 155]",0.97,0.0,0.02,0.0,0.01,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[539, 96, 124, 153]",0.89,0.0,0.09,0.0,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[526, 102, 119, 148]",0.85,0.06,0.05,0.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[523, 107, 121, 148]",0.9,0.0,0.03,0.0,0.04,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[546, 68, 143, 184]",0.96,0.0,0.01,0.0,0.01,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[535, 92, 124, 150]",0.92,0.0,0.05,0.0,0.02,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[507, 94, 124, 150]",0.7,0.17,0.05,0.0,0.08,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[520, 78, 137, 170]",0.97,0.01,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[531, 89, 126, 152]",0.84,0.01,0.1,0.0,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[602, 78, 126, 164]",0.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[640, 59, 117, 152]",0.82,0.01,0.01,0.03,0.1,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[650, 61, 124, 158]",0.8,0.02,0.06,0.0,0.09,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[584, 51, 132, 162]",0.68,0.01,0.15,0.01,0.09,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[607, 47, 127, 151]",0.56,0.17,0.22,0.01,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[607, 45, 124, 146]",0.89,0.02,0.05,0.0,0.04,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[535, 54, 129, 150]",0.79,0.03,0.06,0.0,0.05,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[622, 44, 128, 166]",0.73,0.04,0.09,0.03,0.05,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[614, 54, 131, 162]",0.85,0.02,0.04,0.0,0.04,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[586, 59, 131, 162]",0.98,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[529, 67, 114, 153]",0.81,0.01,0.09,0.0,0.03,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[624, 61, 121, 146]",0.96,0.0,0.03,0.0,0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[488, 117, 114, 146]",0.86,0.03,0.04,0.0,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[469, 111, 120, 150]",0.89,0.01,0.02,0.0,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[635, 51, 127, 156]",0.87,0.0,0.03,0.0,0.06,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"[500, 325, 16, 20]",0.07,0.0,0.21,0.12,0.45,0.02,0.12,"[1201, 384, 30, 40]",0.36,0.0,0.1,0.04,0.29,0.01,0.21,"[807, 352, 18, 25]",0.26,0.0,0.04,0.04,0.4,0.01,0.26,"[743, 345, 16, 23]",0.09,0.0,0.04,0.62,0.11,0.04,0.11,"[1032, 349, 23, 28]",0.33,0.0,0.03,0.03,0.51,0.0,0.1,"[847, 365, 30, 40]",0.14,0.0,0.06,0.46,0.26,0.02,0.06,"[1173, 360, 19, 24]",0.36,0.0,0.09,0.05,0.42,0.02,0.06,"[593, 329, 24, 29]",0.19,0.0,0.06,0.11,0.22,0.0,0.41,"[766, 339, 18, 23]",0.45,0.0,0.08,0.19,0.17,0.0,0.11,"[560, 331, 16, 21]",0.12,0.0,0.12,0.33,0.35,0.0,0.08,"[1064, 343, 14, 18]",0.77,0.0,0.03,0.14,0.05,0.0,0.01,"[936, 347, 17, 23]",0.04,0.0,0.19,0.12,0.61,0.01,0.03,"[1246, 356, 19, 26]",0.28,0.0,0.03,0.07,0.54,0.01,0.07,"[1009, 333, 13, 17]",0.39,0.0,0.03,0.17,0.36,0.0,0.05,"[1151, 355, 18, 23]",0.08,0.0,0.06,0.03,0.77,0.0,0.07,"[1094, 356, 29, 38]",0.18,0.0,0.16,0.26,0.26,0.0,0.13,"[828, 477, 27, 27]",0.09,0.0,0.06,0.03,0.67,0.01,0.14
54,"[849, 367, 28, 37]",0.18,0.01,0.02,0.13,0.23,0.02,0.41,"[1200, 384, 31, 40]",0.42,0.0,0.09,0.06,0.29,0.01,0.14,"[807, 352, 18, 26]",0.09,0.0,0.02,0.1,0.5,0.01,0.28,"[767, 339, 17, 24]",0.48,0.01,0.11,0.25,0.11,0.01,0.03,"[743, 345, 16, 22]",0.04,0.0,0.07,0.45,0.28,0.02,0.13,"[1030, 348, 23, 29]",0.57,0.0,0.02,0.2,0.16,0.0,0.06,"[592, 329, 25, 29]",0.1,0.01,0.04,0.63,0.06,0.01,0.16,"[1150, 356, 19, 22]",0.06,0.0,0.02,0.02,0.85,0.0,0.04,"[493, 325, 15, 19]",0.5,0.0,0.03,0.13,0.3,0.0,0.04,"[1247, 357, 18, 25]",0.35,0.0,0.06,0.09,0.48,0.0,0.03,"[1094, 356, 31, 40]",0.14,0.0,0.16,0.21,0.22,0.0,0.27,"[1173, 359, 18, 23]",0.3,0.0,0.12,0.05,0.38,0.02,0.12,"[1065, 342, 14, 18]",0.81,0.0,0.02,0.03,0.1,0.0,0.03,"[558, 334, 17, 21]",0.13,0.0,0.1,0.47,0.25,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,
55,"[847, 367, 28, 33]",0.11,0.0,0.01,0.23,0.38,0.0,0.26,"[668, 349, 21, 28]",0.06,0.0,0.15,0.31,0.23,0.06,0.19,"[493, 325, 14, 19]",0.61,0.0,0.03,0.04,0.27,0.0,0.04,"[806, 352, 18, 25]",0.06,0.0,0.05,0.03,0.54,0.0,0.32,"[1200, 384, 31, 41]",0.45,0.0,0.07,0.03,0.37,0.01,0.07,"[593, 325, 24, 30]",0.33,0.02,0.06,0.1,0.14,0.0,0.35,"[1173, 360, 19, 24]",0.41,0.0,0.08,0.05,0.32,0.02,0.12,"[742, 345, 17, 23]",0.11,0.0,0.07,0.38,0.34,0.02,0.08,"[1031, 348, 22, 29]",0.65,0.0,0.02,0.06,0.19,0.0,0.08,"[1065, 343, 15, 18]",0.66,0.0,0.06,0.03,0.22,0.0,0.03,"[1247, 357, 19, 27]",0.32,0.0,0.09,0.14,0.41,0.0,0.04,"[768, 339, 18, 24]",0.61,0.01,0.07,0.09,0.16,0.0,0.05,"[1150, 357, 17, 21]",0.11,0.0,0.07,0.06,0.7,0.01,0.06,"[1094, 357, 31, 37]",0.21,0.0,0.09,0.34,0.22,0.01,0.13,"[560, 332, 16, 22]",0.07,0.0,0.04,0.71,0.11,0.0,0.07,"[935, 346, 20, 27]",0.03,0.0,0.11,0.05,0.75,0.0,0.06,,,,,,,,
