,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
108,"[496, 110, 147, 201]",0.1,0.0,0.66,0.0,0.03,0.11,0.1,,,,,,,,
109,"[586, 100, 144, 190]",0.13,0.0,0.66,0.0,0.05,0.02,0.14,,,,,,,,
110,"[553, 94, 137, 181]",0.19,0.0,0.63,0.0,0.03,0.04,0.11,,,,,,,,
111,"[563, 122, 152, 200]",0.2,0.0,0.49,0.0,0.1,0.05,0.15,,,,,,,,
112,"[558, 115, 142, 186]",0.26,0.0,0.5,0.0,0.04,0.17,0.03,,,,,,,,
113,"[537, 105, 140, 187]",0.04,0.0,0.86,0.0,0.07,0.02,0.0,,,,,,,,
114,"[563, 93, 139, 184]",0.02,0.0,0.5,0.0,0.02,0.45,0.01,,,,,,,,
115,"[569, 140, 143, 187]",0.12,0.0,0.71,0.0,0.06,0.04,0.06,,,,,,,,
116,"[584, 99, 138, 182]",0.2,0.0,0.68,0.0,0.03,0.04,0.05,,,,,,,,
117,"[568, 110, 142, 190]",0.21,0.0,0.38,0.0,0.07,0.23,0.1,,,,,,,,
118,"[497, 99, 138, 183]",0.16,0.0,0.5,0.0,0.02,0.28,0.04,,,,,,,,
119,"[590, 99, 140, 183]",0.08,0.0,0.74,0.0,0.07,0.04,0.08,,,,,,,,
120,"[539, 71, 143, 183]",0.38,0.0,0.53,0.0,0.04,0.04,0.01,,,,,,,,
121,"[534, 92, 139, 184]",0.07,0.0,0.88,0.0,0.01,0.03,0.01,,,,,,,,
122,"[543, 116, 140, 186]",0.32,0.0,0.49,0.0,0.04,0.11,0.04,,,,,,,,
123,"[552, 99, 150, 197]",0.15,0.0,0.43,0.0,0.04,0.24,0.14,,,,,,,,
124,"[532, 86, 137, 184]",0.27,0.0,0.56,0.0,0.05,0.08,0.03,,,,,,,,
125,"[580, 117, 139, 182]",0.33,0.0,0.37,0.0,0.11,0.09,0.1,,,,,,,,
126,"[568, 108, 137, 182]",0.51,0.0,0.33,0.0,0.04,0.07,0.06,,,,,,,,
127,"[554, 112, 136, 174]",0.24,0.0,0.05,0.0,0.13,0.0,0.58,,,,,,,,
128,"[569, 94, 136, 180]",0.1,0.0,0.82,0.0,0.01,0.05,0.02,,,,,,,,
129,"[586, 111, 141, 189]",0.28,0.0,0.34,0.0,0.05,0.17,0.15,,,,,,,,
130,"[573, 121, 145, 192]",0.06,0.0,0.66,0.0,0.07,0.07,0.13,,,,,,,,
131,"[587, 102, 145, 196]",0.06,0.0,0.71,0.01,0.03,0.04,0.15,,,,,,,,
132,"[484, 84, 130, 168]",0.03,0.0,0.6,0.0,0.02,0.35,0.0,,,,,,,,
133,"[542, 94, 137, 183]",0.25,0.0,0.47,0.0,0.07,0.03,0.18,,,,,,,,
134,"[545, 96, 143, 187]",0.22,0.0,0.59,0.0,0.07,0.06,0.06,"[597, 256, 34, 40]",0.03,0.0,0.01,0.83,0.07,0.0,0.06
135,"[539, 84, 139, 186]",0.29,0.0,0.51,0.0,0.06,0.06,0.08,,,,,,,,
136,"[564, 75, 134, 178]",0.04,0.0,0.05,0.82,0.0,0.09,0.0,,,,,,,,
137,"[556, 107, 134, 178]",0.47,0.0,0.25,0.0,0.06,0.16,0.06,,,,,,,,
138,"[569, 121, 138, 182]",0.22,0.0,0.08,0.01,0.19,0.0,0.5,,,,,,,,
139,"[584, 93, 140, 185]",0.15,0.0,0.7,0.0,0.04,0.01,0.1,,,,,,,,
140,"[594, 112, 137, 181]",0.79,0.01,0.06,0.0,0.07,0.0,0.07,,,,,,,,
141,"[568, 100, 139, 184]",0.22,0.0,0.43,0.0,0.08,0.16,0.12,,,,,,,,
142,"[590, 107, 139, 187]",0.29,0.0,0.55,0.0,0.05,0.05,0.06,,,,,,,,
143,"[498, 79, 144, 191]",0.1,0.0,0.76,0.0,0.08,0.03,0.03,,,,,,,,
144,"[557, 84, 141, 188]",0.28,0.0,0.57,0.0,0.06,0.03,0.06,,,,,,,,
145,"[568, 98, 140, 185]",0.2,0.0,0.68,0.0,0.03,0.06,0.03,,,,,,,,
146,"[506, 99, 140, 183]",0.27,0.0,0.26,0.0,0.06,0.24,0.18,,,,,,,,
147,"[600, 90, 146, 190]",0.1,0.0,0.8,0.0,0.05,0.01,0.04,,,,,,,,
148,"[538, 98, 136, 184]",0.03,0.0,0.4,0.0,0.01,0.56,0.01,,,,,,,,
149,"[565, 111, 138, 182]",0.1,0.0,0.83,0.0,0.03,0.02,0.01,,,,,,,,
150,"[551, 104, 142, 188]",0.12,0.0,0.16,0.01,0.09,0.0,0.61,,,,,,,,
151,"[549, 94, 142, 189]",0.3,0.0,0.35,0.0,0.09,0.04,0.21,,,,,,,,
152,"[571, 108, 143, 184]",0.45,0.0,0.28,0.0,0.03,0.2,0.04,,,,,,,,
153,"[582, 106, 143, 185]",0.24,0.0,0.55,0.0,0.03,0.09,0.09,,,,,,,,
154,"[562, 99, 146, 188]",0.14,0.0,0.53,0.0,0.16,0.01,0.17,,,,,,,,
155,"[526, 100, 140, 186]",0.41,0.0,0.3,0.0,0.15,0.08,0.06,,,,,,,,
156,"[553, 123, 142, 190]",0.18,0.0,0.34,0.0,0.13,0.1,0.25,,,,,,,,
157,"[531, 104, 144, 190]",0.47,0.0,0.34,0.0,0.09,0.04,0.07,,,,,,,,
158,"[544, 77, 141, 184]",0.16,0.0,0.54,0.0,0.16,0.12,0.02,,,,,,,,
159,"[550, 107, 139, 183]",0.15,0.0,0.65,0.0,0.12,0.02,0.06,,,,,,,,
160,"[568, 116, 133, 173]",0.06,0.0,0.01,0.0,0.11,0.0,0.82,,,,,,,,
161,"[523, 87, 137, 182]",0.06,0.0,0.87,0.0,0.04,0.02,0.02,,,,,,,,
162,"[519, 88, 136, 178]",0.12,0.0,0.64,0.0,0.07,0.07,0.09,,,,,,,,
163,"[536, 82, 141, 183]",0.26,0.0,0.47,0.0,0.09,0.1,0.08,,,,,,,,
164,"[523, 97, 140, 183]",0.42,0.0,0.12,0.0,0.15,0.01,0.3,,,,,,,,
165,"[509, 117, 143, 190]",0.22,0.0,0.65,0.0,0.03,0.04,0.06,,,,,,,,
166,"[489, 98, 138, 185]",0.12,0.0,0.82,0.0,0.01,0.05,0.0,,,,,,,,
