,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
112,"[492, 111, 203, 261]",0.15,0.0,0.09,0.04,0.06,0.03,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"[463, 141, 188, 239]",0.09,0.03,0.13,0.1,0.07,0.2,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[529, 122, 202, 248]",0.25,0.0,0.21,0.02,0.05,0.38,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"[552, 136, 208, 259]",0.03,0.0,0.02,0.6,0.06,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"[527, 73, 207, 247]",0.07,0.0,0.18,0.0,0.5,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"[622, 124, 194, 255]",0.03,0.0,0.04,0.67,0.02,0.06,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"[576, 121, 205, 251]",0.12,0.0,0.08,0.04,0.1,0.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"[490, 122, 190, 252]",0.07,0.0,0.09,0.2,0.06,0.39,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"[545, 85, 207, 255]",0.07,0.0,0.22,0.03,0.28,0.03,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"[582, 105, 210, 269]",0.08,0.0,0.07,0.21,0.03,0.19,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"[645, 157, 195, 251]",0.14,0.0,0.09,0.01,0.16,0.16,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"[453, 110, 196, 253]",0.05,0.0,0.23,0.11,0.13,0.38,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"[544, 71, 202, 253]",0.03,0.0,0.09,0.0,0.15,0.01,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"[594, 103, 200, 258]",0.07,0.0,0.04,0.22,0.1,0.07,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"[486, 126, 194, 252]",0.31,0.01,0.09,0.07,0.08,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"[466, 134, 196, 255]",0.09,0.01,0.13,0.15,0.06,0.32,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"[615, 142, 191, 256]",0.14,0.0,0.01,0.01,0.03,0.01,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"[485, 95, 198, 250]",0.07,0.0,0.09,0.06,0.12,0.07,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"[473, 112, 189, 249]",0.03,0.0,0.04,0.46,0.11,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"[659, 97, 205, 271]",0.04,0.0,0.01,0.0,0.03,0.01,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"[562, 111, 205, 249]",0.07,0.0,0.1,0.01,0.02,0.74,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"[436, 143, 190, 242]",0.14,0.0,0.05,0.04,0.1,0.03,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"[443, 138, 198, 249]",0.15,0.0,0.09,0.09,0.07,0.04,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"[455, 150, 192, 250]",0.21,0.0,0.14,0.28,0.1,0.05,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"[535, 130, 200, 245]",0.15,0.0,0.06,0.03,0.19,0.13,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"[593, 147, 207, 259]",0.33,0.03,0.14,0.16,0.1,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"[483, 148, 189, 242]",0.65,0.01,0.07,0.01,0.04,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
