,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8
42,"[605, 229, 39, 49]",0.06,0.0,0.05,0.25,0.17,0.15,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[601, 232, 38, 47]",0.05,0.0,0.04,0.47,0.04,0.06,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[605, 231, 37, 50]",0.05,0.0,0.05,0.25,0.12,0.16,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[622, 226, 36, 47]",0.07,0.0,0.03,0.46,0.15,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[644, 339, 31, 38]",0.21,0.0,0.45,0.01,0.19,0.0,0.13,"[98, 342, 41, 48]",0.6,0.0,0.17,0.05,0.14,0.0,0.03,"[410, 363, 35, 44]",0.07,0.0,0.18,0.49,0.16,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[856, 326, 27, 35]",0.52,0.0,0.18,0.16,0.1,0.0,0.04,"[566, 332, 28, 31]",0.08,0.0,0.43,0.03,0.13,0.04,0.28,"[67, 326, 31, 33]",0.29,0.0,0.12,0.19,0.32,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[495, 332, 27, 32]",0.07,0.0,0.4,0.03,0.11,0.02,0.37,"[79, 354, 42, 53]",0.23,0.01,0.2,0.06,0.31,0.0,0.18,"[25, 349, 35, 41]",0.33,0.0,0.24,0.09,0.16,0.03,0.16,"[133, 344, 37, 47]",0.12,0.0,0.38,0.17,0.2,0.01,0.12,"[782, 325, 28, 34]",0.52,0.0,0.21,0.14,0.08,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[44, 347, 37, 47]",0.07,0.0,0.15,0.32,0.19,0.01,0.25,"[156, 365, 49, 62]",0.34,0.0,0.26,0.15,0.22,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[607, 353, 70, 93]",0.44,0.0,0.03,0.19,0.11,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[592, 369, 70, 90]",0.2,0.01,0.01,0.63,0.01,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
