,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
119,"[586, 73, 123, 170]",0.03,0.0,0.31,0.0,0.02,0.49,0.15
120,"[573, 77, 132, 170]",0.05,0.0,0.15,0.01,0.03,0.09,0.68
121,"[573, 68, 132, 176]",0.03,0.0,0.15,0.01,0.03,0.11,0.67
122,"[575, 77, 131, 171]",0.06,0.0,0.11,0.0,0.05,0.07,0.7
123,"[579, 74, 130, 169]",0.02,0.0,0.1,0.0,0.01,0.45,0.41
124,"[592, 80, 132, 175]",0.05,0.0,0.01,0.01,0.0,0.01,0.91
125,"[585, 84, 123, 165]",0.03,0.0,0.24,0.01,0.02,0.27,0.43
126,"[592, 76, 121, 161]",0.02,0.0,0.11,0.0,0.01,0.01,0.85
127,"[574, 78, 133, 170]",0.02,0.0,0.02,0.06,0.01,0.01,0.88
128,"[579, 101, 128, 167]",0.22,0.0,0.02,0.12,0.02,0.03,0.59
129,"[577, 82, 127, 164]",0.04,0.0,0.01,0.02,0.02,0.0,0.9
130,"[577, 75, 131, 168]",0.01,0.0,0.02,0.02,0.01,0.01,0.92
131,"[577, 82, 131, 171]",0.08,0.0,0.06,0.02,0.03,0.03,0.78
132,"[593, 75, 120, 162]",0.02,0.0,0.05,0.0,0.01,0.03,0.89
133,"[585, 80, 120, 158]",0.03,0.0,0.02,0.0,0.01,0.03,0.91
134,"[574, 87, 125, 169]",0.08,0.0,0.03,0.05,0.01,0.02,0.81
135,"[579, 86, 127, 172]",0.19,0.0,0.03,0.03,0.04,0.01,0.7
136,"[577, 87, 126, 170]",0.09,0.0,0.02,0.01,0.03,0.01,0.84
137,"[579, 83, 126, 166]",0.03,0.0,0.1,0.01,0.02,0.09,0.75
138,"[577, 79, 134, 177]",0.04,0.0,0.04,0.03,0.01,0.01,0.87
139,"[581, 81, 131, 175]",0.03,0.0,0.01,0.02,0.01,0.0,0.93
140,"[576, 81, 132, 174]",0.14,0.0,0.1,0.01,0.04,0.02,0.7
141,"[577, 80, 131, 169]",0.05,0.0,0.03,0.01,0.03,0.01,0.88
142,"[583, 82, 124, 163]",0.04,0.0,0.02,0.04,0.02,0.01,0.88
143,"[581, 78, 127, 165]",0.02,0.0,0.05,0.01,0.03,0.03,0.87
144,"[589, 81, 125, 168]",0.05,0.0,0.19,0.01,0.03,0.13,0.58
145,"[580, 74, 127, 167]",0.18,0.0,0.37,0.0,0.2,0.01,0.24
146,"[577, 71, 134, 179]",0.03,0.0,0.13,0.01,0.02,0.07,0.75
147,"[580, 67, 127, 172]",0.02,0.0,0.25,0.01,0.02,0.31,0.39
148,"[575, 69, 134, 179]",0.02,0.0,0.17,0.07,0.01,0.16,0.57
149,"[579, 82, 134, 181]",0.06,0.0,0.16,0.01,0.04,0.03,0.69
150,"[581, 78, 126, 165]",0.03,0.0,0.23,0.0,0.02,0.33,0.38
151,"[585, 90, 123, 160]",0.04,0.0,0.02,0.01,0.03,0.01,0.89
152,"[584, 81, 127, 165]",0.05,0.0,0.35,0.0,0.04,0.18,0.39
153,"[578, 83, 128, 163]",0.05,0.0,0.03,0.02,0.06,0.0,0.85
154,"[574, 82, 136, 179]",0.03,0.0,0.04,0.01,0.01,0.0,0.91
155,"[571, 75, 140, 180]",0.03,0.0,0.14,0.06,0.01,0.35,0.41
156,"[583, 83, 126, 164]",0.02,0.0,0.09,0.02,0.01,0.11,0.75
157,"[582, 79, 122, 163]",0.01,0.0,0.17,0.0,0.0,0.76,0.06
158,"[586, 79, 127, 167]",0.01,0.0,0.09,0.01,0.01,0.06,0.82
159,"[579, 80, 135, 177]",0.11,0.0,0.27,0.02,0.05,0.09,0.46
