,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
16,"[932, 174, 90, 98]",0.12,0.0,0.05,0.0,0.06,0.0,0.77,"[456, 171, 86, 112]",0.33,0.0,0.25,0.02,0.14,0.02,0.24,"[26, 287, 37, 43]",0.21,0.0,0.29,0.05,0.41,0.0,0.04,"[445, 504, 43, 58]",0.07,0.0,0.1,0.25,0.44,0.01,0.14,"[736, 378, 55, 73]",0.07,0.0,0.03,0.09,0.75,0.01,0.06,,,,,,,,
17,"[929, 170, 94, 104]",0.11,0.0,0.07,0.01,0.06,0.01,0.75,"[448, 167, 90, 116]",0.35,0.0,0.18,0.02,0.27,0.03,0.15,"[115, 255, 56, 72]",0.46,0.01,0.06,0.09,0.34,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,
18,"[450, 168, 86, 109]",0.97,0.0,0.02,0.0,0.01,0.0,0.0,"[927, 173, 89, 103]",0.07,0.0,0.08,0.01,0.08,0.0,0.77,"[122, 255, 56, 70]",0.69,0.01,0.02,0.02,0.24,0.0,0.02,"[49, 284, 32, 39]",0.15,0.0,0.24,0.07,0.47,0.0,0.07,,,,,,,,,,,,,,,,
19,"[929, 174, 88, 100]",0.15,0.0,0.05,0.0,0.05,0.0,0.75,"[458, 170, 91, 120]",0.63,0.0,0.14,0.01,0.17,0.04,0.02,"[120, 256, 58, 72]",0.44,0.01,0.08,0.08,0.36,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
20,"[929, 174, 88, 100]",0.16,0.0,0.07,0.0,0.05,0.0,0.71,"[439, 160, 90, 111]",0.71,0.0,0.15,0.0,0.11,0.02,0.01,"[114, 251, 62, 78]",0.77,0.0,0.03,0.02,0.15,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
21,"[926, 173, 88, 100]",0.12,0.0,0.02,0.0,0.04,0.0,0.8,"[454, 169, 86, 111]",0.65,0.0,0.13,0.01,0.12,0.02,0.07,"[123, 254, 59, 71]",0.25,0.03,0.08,0.04,0.58,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
22,"[924, 175, 84, 97]",0.18,0.0,0.02,0.0,0.06,0.0,0.73,"[127, 255, 54, 69]",0.32,0.03,0.04,0.02,0.58,0.0,0.01,"[461, 192, 94, 114]",0.14,0.0,0.08,0.0,0.68,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
23,"[925, 173, 92, 101]",0.12,0.0,0.02,0.0,0.04,0.0,0.82,"[450, 189, 88, 110]",0.1,0.0,0.07,0.0,0.81,0.0,0.01,"[78, 251, 61, 74]",0.44,0.01,0.1,0.01,0.42,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
24,"[928, 172, 91, 104]",0.23,0.0,0.14,0.01,0.04,0.01,0.57,"[455, 178, 89, 114]",0.45,0.0,0.22,0.01,0.15,0.14,0.04,"[50, 254, 62, 74]",0.42,0.01,0.03,0.07,0.43,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
25,"[916, 174, 90, 101]",0.39,0.0,0.1,0.0,0.05,0.01,0.45,"[184, 264, 47, 57]",0.17,0.0,0.25,0.04,0.41,0.0,0.11,"[451, 165, 89, 116]",0.83,0.0,0.05,0.0,0.04,0.02,0.06,"[53, 256, 57, 71]",0.23,0.06,0.06,0.02,0.61,0.01,0.01,,,,,,,,,,,,,,,,
26,"[435, 174, 90, 115]",0.46,0.0,0.28,0.0,0.19,0.05,0.03,"[52, 255, 57, 70]",0.17,0.06,0.05,0.01,0.7,0.01,0.0,"[137, 260, 51, 58]",0.2,0.0,0.08,0.23,0.44,0.0,0.05,"[912, 180, 80, 97]",0.42,0.0,0.08,0.0,0.11,0.01,0.39,,,,,,,,,,,,,,,,
27,"[441, 168, 89, 109]",0.31,0.0,0.2,0.0,0.44,0.0,0.05,"[68, 256, 56, 67]",0.18,0.03,0.04,0.03,0.7,0.01,0.01,"[214, 260, 47, 56]",0.32,0.0,0.31,0.04,0.26,0.02,0.04,"[912, 180, 80, 95]",0.46,0.0,0.03,0.0,0.1,0.0,0.42,,,,,,,,,,,,,,,,
28,"[470, 172, 87, 119]",0.52,0.0,0.1,0.02,0.11,0.01,0.24,"[72, 251, 60, 72]",0.33,0.0,0.07,0.01,0.57,0.0,0.02,"[213, 256, 48, 56]",0.47,0.0,0.12,0.07,0.27,0.01,0.06,"[914, 179, 80, 99]",0.59,0.0,0.05,0.0,0.11,0.0,0.24,"[151, 226, 56, 61]",0.21,0.0,0.11,0.18,0.43,0.0,0.08,,,,,,,,
29,"[911, 179, 85, 99]",0.26,0.0,0.05,0.0,0.06,0.01,0.62,"[468, 178, 88, 109]",0.47,0.0,0.21,0.0,0.13,0.01,0.17,"[71, 251, 64, 78]",0.35,0.0,0.04,0.01,0.59,0.0,0.01,"[235, 260, 47, 54]",0.22,0.0,0.13,0.25,0.29,0.0,0.11,,,,,,,,,,,,,,,,
30,"[444, 174, 92, 116]",0.57,0.0,0.22,0.0,0.13,0.06,0.02,"[916, 175, 88, 104]",0.14,0.0,0.03,0.0,0.06,0.0,0.77,"[75, 254, 58, 70]",0.15,0.0,0.05,0.03,0.75,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
31,"[438, 166, 91, 118]",0.69,0.0,0.05,0.01,0.07,0.01,0.17,"[907, 177, 85, 99]",0.47,0.0,0.12,0.0,0.06,0.01,0.34,"[30, 247, 60, 77]",0.21,0.0,0.13,0.02,0.6,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
32,"[909, 176, 85, 101]",0.46,0.0,0.09,0.0,0.14,0.01,0.31,"[443, 167, 92, 118]",0.46,0.0,0.26,0.0,0.14,0.11,0.03,"[0, 258, 49, 71]",0.17,0.04,0.1,0.19,0.42,0.01,0.06,"[150, 221, 64, 71]",0.36,0.0,0.21,0.03,0.35,0.0,0.04,,,,,,,,,,,,,,,,
33,"[454, 168, 86, 113]",0.82,0.0,0.07,0.0,0.04,0.03,0.04,"[913, 176, 81, 100]",0.6,0.0,0.05,0.0,0.05,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[459, 170, 84, 106]",0.77,0.0,0.07,0.0,0.06,0.0,0.09,"[909, 155, 108, 131]",0.08,0.0,0.06,0.06,0.19,0.0,0.61,"[0, 257, 46, 72]",0.17,0.01,0.08,0.49,0.17,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,
35,"[449, 174, 89, 115]",0.54,0.0,0.09,0.0,0.33,0.01,0.03,"[17, 256, 56, 70]",0.32,0.02,0.08,0.01,0.55,0.01,0.01,"[908, 176, 83, 102]",0.49,0.0,0.17,0.0,0.14,0.01,0.2,,,,,,,,,,,,,,,,,,,,,,,,
36,"[26, 258, 55, 67]",0.25,0.02,0.03,0.04,0.65,0.0,0.02,"[430, 162, 89, 113]",0.85,0.0,0.07,0.01,0.02,0.0,0.05,"[906, 179, 81, 100]",0.64,0.0,0.07,0.0,0.09,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,
37,"[28, 258, 53, 67]",0.16,0.01,0.04,0.04,0.74,0.0,0.01,"[453, 167, 88, 117]",0.84,0.0,0.03,0.01,0.02,0.05,0.04,"[894, 153, 109, 135]",0.21,0.0,0.18,0.01,0.2,0.04,0.36,,,,,,,,,,,,,,,,,,,,,,,,
38,"[457, 171, 91, 121]",0.24,0.0,0.23,0.02,0.22,0.01,0.27,"[904, 180, 85, 100]",0.61,0.0,0.05,0.0,0.11,0.0,0.23,"[0, 249, 53, 75]",0.08,0.01,0.37,0.07,0.42,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
39,"[451, 166, 92, 120]",0.77,0.0,0.06,0.01,0.04,0.02,0.11,"[918, 180, 86, 100]",0.5,0.0,0.05,0.0,0.11,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[924, 177, 88, 102]",0.21,0.0,0.04,0.0,0.06,0.0,0.69,"[442, 175, 87, 110]",0.51,0.0,0.16,0.0,0.21,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[449, 172, 90, 119]",0.63,0.0,0.12,0.0,0.07,0.08,0.09,"[907, 162, 97, 114]",0.14,0.0,0.05,0.01,0.07,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[443, 168, 91, 116]",0.54,0.0,0.3,0.0,0.12,0.04,0.01,"[909, 162, 97, 113]",0.12,0.0,0.04,0.01,0.05,0.0,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[912, 174, 86, 101]",0.32,0.0,0.07,0.0,0.14,0.0,0.46,"[437, 170, 93, 118]",0.65,0.0,0.13,0.0,0.12,0.07,0.03,"[202, 263, 49, 56]",0.21,0.0,0.15,0.03,0.51,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,
44,"[913, 175, 87, 102]",0.22,0.0,0.04,0.0,0.07,0.0,0.66,"[183, 265, 49, 56]",0.31,0.0,0.22,0.03,0.3,0.04,0.11,"[463, 186, 95, 121]",0.49,0.0,0.34,0.0,0.09,0.02,0.05,"[30, 285, 35, 41]",0.26,0.0,0.31,0.04,0.35,0.0,0.05,,,,,,,,,,,,,,,,
45,"[916, 176, 87, 100]",0.12,0.0,0.04,0.01,0.09,0.0,0.74,"[221, 268, 49, 56]",0.12,0.0,0.17,0.05,0.62,0.0,0.03,"[435, 171, 92, 114]",0.36,0.0,0.21,0.03,0.08,0.0,0.31,"[29, 285, 34, 40]",0.22,0.0,0.23,0.03,0.47,0.0,0.04,"[740, 599, 28, 36]",0.16,0.0,0.07,0.15,0.58,0.01,0.03,"[385, 269, 38, 44]",0.71,0.0,0.01,0.03,0.23,0.0,0.01
46,"[915, 174, 87, 102]",0.29,0.0,0.06,0.0,0.06,0.01,0.59,"[445, 169, 90, 114]",0.35,0.0,0.21,0.12,0.16,0.01,0.17,"[394, 270, 33, 37]",0.49,0.0,0.3,0.03,0.17,0.0,0.02,"[22, 290, 32, 39]",0.33,0.0,0.33,0.03,0.26,0.0,0.04,,,,,,,,,,,,,,,,
47,"[931, 173, 89, 102]",0.33,0.0,0.05,0.0,0.08,0.0,0.53,"[455, 164, 89, 117]",0.41,0.0,0.24,0.0,0.23,0.04,0.08,"[144, 223, 81, 97]",0.08,0.0,0.05,0.44,0.32,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
48,"[924, 174, 92, 102]",0.28,0.0,0.05,0.0,0.07,0.0,0.59,"[461, 170, 85, 108]",0.58,0.0,0.05,0.01,0.11,0.0,0.25,"[126, 257, 53, 61]",0.18,0.0,0.23,0.26,0.33,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,
49,"[937, 176, 85, 99]",0.22,0.0,0.05,0.0,0.06,0.0,0.66,"[452, 177, 88, 113]",0.63,0.0,0.17,0.0,0.1,0.08,0.03,"[124, 257, 52, 61]",0.28,0.0,0.16,0.22,0.3,0.0,0.04,"[477, 533, 29, 33]",0.03,0.0,0.01,0.77,0.13,0.0,0.06,,,,,,,,,,,,,,,,
50,"[926, 169, 96, 109]",0.07,0.0,0.01,0.0,0.02,0.0,0.9,"[446, 165, 90, 118]",0.94,0.0,0.03,0.0,0.01,0.02,0.0,"[134, 252, 52, 58]",0.54,0.0,0.1,0.14,0.16,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,
51,"[466, 183, 88, 114]",0.53,0.0,0.2,0.05,0.07,0.02,0.13,"[922, 161, 100, 115]",0.1,0.0,0.03,0.01,0.06,0.0,0.79,"[145, 249, 53, 60]",0.65,0.0,0.07,0.12,0.1,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
52,"[449, 170, 92, 120]",0.94,0.0,0.03,0.0,0.03,0.0,0.0,"[923, 165, 97, 111]",0.1,0.0,0.02,0.01,0.04,0.0,0.82,"[176, 254, 50, 57]",0.2,0.0,0.05,0.35,0.23,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,
53,"[453, 164, 89, 113]",0.49,0.0,0.14,0.01,0.23,0.01,0.12,"[923, 166, 96, 111]",0.06,0.0,0.01,0.01,0.01,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"[450, 167, 89, 113]",0.4,0.0,0.12,0.27,0.07,0.01,0.13,"[924, 169, 96, 108]",0.08,0.0,0.01,0.0,0.02,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"[925, 174, 92, 104]",0.21,0.0,0.05,0.0,0.06,0.0,0.67,"[435, 183, 92, 118]",0.14,0.0,0.3,0.0,0.52,0.01,0.02,"[740, 598, 32, 38]",0.22,0.0,0.14,0.04,0.53,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,
56,"[912, 176, 88, 103]",0.34,0.0,0.11,0.0,0.09,0.0,0.46,"[443, 173, 88, 111]",0.67,0.0,0.14,0.0,0.07,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"[463, 172, 87, 111]",0.42,0.0,0.08,0.07,0.18,0.01,0.24,"[914, 176, 84, 102]",0.23,0.0,0.09,0.0,0.1,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"[913, 175, 87, 103]",0.42,0.0,0.09,0.0,0.07,0.0,0.4,"[446, 164, 87, 105]",0.81,0.0,0.11,0.0,0.07,0.01,0.0,"[195, 268, 26, 35]",0.24,0.02,0.13,0.15,0.38,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,
59,"[918, 174, 92, 102]",0.19,0.0,0.06,0.0,0.03,0.0,0.72,"[434, 163, 96, 117]",0.2,0.0,0.21,0.26,0.19,0.12,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"[915, 172, 94, 105]",0.14,0.0,0.07,0.01,0.04,0.01,0.74,"[449, 166, 89, 122]",0.61,0.0,0.07,0.0,0.03,0.28,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"[446, 159, 88, 114]",0.89,0.0,0.06,0.0,0.04,0.0,0.0,"[915, 174, 87, 103]",0.17,0.0,0.15,0.01,0.06,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"[916, 170, 95, 108]",0.12,0.0,0.12,0.0,0.04,0.01,0.71,"[441, 177, 94, 113]",0.22,0.0,0.22,0.0,0.52,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"[914, 174, 87, 100]",0.36,0.0,0.08,0.0,0.05,0.0,0.51,"[452, 171, 92, 119]",0.4,0.0,0.21,0.0,0.3,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"[917, 176, 83, 99]",0.16,0.0,0.19,0.0,0.1,0.0,0.55,"[464, 180, 96, 122]",0.19,0.0,0.17,0.0,0.37,0.0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[916, 172, 93, 102]",0.36,0.0,0.06,0.0,0.03,0.01,0.54,"[470, 180, 87, 114]",0.72,0.0,0.13,0.01,0.1,0.01,0.04,"[59, 289, 32, 39]",0.28,0.0,0.11,0.02,0.4,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,
66,"[919, 174, 88, 100]",0.42,0.0,0.05,0.0,0.04,0.01,0.49,"[440, 173, 88, 119]",0.25,0.0,0.57,0.02,0.1,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"[428, 170, 93, 122]",0.38,0.0,0.24,0.01,0.17,0.02,0.2,"[905, 182, 81, 96]",0.52,0.0,0.05,0.0,0.06,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[450, 161, 89, 112]",0.66,0.0,0.1,0.0,0.12,0.08,0.04,"[904, 181, 81, 95]",0.38,0.0,0.04,0.0,0.06,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"[453, 183, 88, 109]",0.57,0.0,0.15,0.01,0.22,0.01,0.04,"[910, 175, 88, 103]",0.51,0.0,0.06,0.0,0.04,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"[468, 182, 89, 114]",0.3,0.0,0.3,0.13,0.07,0.02,0.18,"[917, 177, 85, 100]",0.33,0.0,0.08,0.0,0.05,0.01,0.52,"[326, 285, 25, 29]",0.55,0.0,0.14,0.16,0.14,0.0,0.01,"[592, 548, 29, 37]",0.54,0.02,0.06,0.1,0.18,0.05,0.07,,,,,,,,,,,,,,,,
71,"[924, 173, 93, 103]",0.39,0.0,0.06,0.0,0.06,0.01,0.49,"[444, 169, 90, 111]",0.28,0.0,0.24,0.03,0.28,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"[926, 175, 85, 100]",0.19,0.0,0.06,0.0,0.14,0.0,0.6,"[422, 167, 90, 108]",0.2,0.0,0.22,0.0,0.32,0.0,0.25,"[105, 287, 31, 38]",0.06,0.0,0.11,0.02,0.7,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,
73,"[925, 174, 89, 102]",0.1,0.0,0.06,0.0,0.11,0.0,0.73,"[460, 167, 84, 118]",0.52,0.0,0.11,0.01,0.04,0.07,0.26,"[86, 283, 34, 41]",0.2,0.0,0.27,0.01,0.48,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
74,"[922, 169, 97, 107]",0.18,0.0,0.1,0.0,0.14,0.0,0.57,"[449, 168, 87, 118]",0.49,0.0,0.1,0.04,0.09,0.01,0.27,"[92, 285, 33, 39]",0.26,0.0,0.12,0.02,0.53,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,
75,"[925, 172, 94, 102]",0.18,0.0,0.11,0.0,0.06,0.01,0.63,"[439, 164, 92, 115]",0.53,0.0,0.06,0.01,0.17,0.04,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"[927, 174, 91, 99]",0.15,0.0,0.06,0.01,0.07,0.01,0.72,"[1156, 335, 40, 45]",0.29,0.0,0.2,0.07,0.35,0.04,0.06,"[433, 172, 89, 114]",0.18,0.0,0.19,0.0,0.33,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,
77,"[447, 160, 92, 116]",0.64,0.0,0.1,0.01,0.11,0.03,0.11,"[926, 174, 92, 99]",0.1,0.0,0.07,0.0,0.07,0.0,0.75,"[1098, 244, 36, 40]",0.27,0.01,0.12,0.39,0.15,0.01,0.06,"[54, 330, 26, 31]",0.11,0.0,0.25,0.02,0.52,0.01,0.07,"[1157, 356, 38, 42]",0.28,0.0,0.04,0.36,0.31,0.01,0.0,,,,,,,,
78,"[927, 174, 90, 99]",0.16,0.0,0.09,0.0,0.07,0.0,0.67,"[1097, 243, 36, 40]",0.26,0.01,0.24,0.24,0.19,0.01,0.06,"[546, 287, 40, 45]",0.47,0.0,0.11,0.21,0.16,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,
79,"[910, 178, 84, 98]",0.56,0.0,0.08,0.0,0.03,0.01,0.32,"[464, 179, 86, 116]",0.14,0.0,0.3,0.01,0.27,0.01,0.27,"[1105, 245, 31, 35]",0.27,0.0,0.12,0.3,0.22,0.0,0.08,"[519, 393, 30, 48]",0.12,0.01,0.2,0.13,0.35,0.13,0.05,,,,,,,,,,,,,,,,
80,"[430, 171, 83, 102]",0.13,0.0,0.47,0.0,0.24,0.05,0.1,"[911, 176, 83, 100]",0.38,0.0,0.08,0.0,0.06,0.01,0.47,"[1103, 238, 35, 41]",0.18,0.0,0.13,0.33,0.3,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,
81,"[912, 176, 86, 98]",0.52,0.0,0.08,0.0,0.08,0.0,0.31,"[449, 171, 90, 116]",0.65,0.0,0.18,0.01,0.1,0.05,0.01,"[1108, 235, 36, 41]",0.16,0.0,0.21,0.21,0.35,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,
82,"[912, 174, 92, 101]",0.58,0.0,0.09,0.0,0.07,0.01,0.26,"[464, 172, 86, 113]",0.37,0.0,0.29,0.03,0.12,0.07,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[436, 166, 94, 113]",0.34,0.0,0.14,0.13,0.15,0.03,0.22,"[916, 177, 88, 98]",0.33,0.0,0.05,0.0,0.08,0.01,0.53,"[1203, 231, 38, 43]",0.25,0.0,0.11,0.31,0.23,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,
84,"[916, 175, 88, 99]",0.5,0.0,0.06,0.0,0.04,0.01,0.39,"[435, 168, 89, 114]",0.47,0.0,0.07,0.0,0.21,0.0,0.23,"[780, 262, 38, 45]",0.17,0.0,0.09,0.09,0.43,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,
85,"[918, 175, 88, 99]",0.39,0.0,0.08,0.0,0.09,0.01,0.42,"[441, 166, 92, 123]",0.07,0.0,0.02,0.88,0.0,0.02,0.0,"[778, 260, 39, 45]",0.3,0.0,0.05,0.09,0.21,0.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,
86,"[918, 174, 90, 100]",0.46,0.0,0.09,0.0,0.08,0.01,0.36,"[454, 171, 88, 115]",0.61,0.0,0.1,0.01,0.06,0.01,0.22,"[1155, 323, 46, 57]",0.11,0.0,0.08,0.1,0.62,0.0,0.09,"[776, 263, 43, 49]",0.03,0.0,0.15,0.07,0.39,0.02,0.33,,,,,,,,,,,,,,,,
87,"[920, 173, 91, 103]",0.45,0.0,0.11,0.0,0.06,0.01,0.36,"[446, 181, 91, 118]",0.9,0.0,0.06,0.0,0.03,0.0,0.0,"[1174, 330, 37, 44]",0.39,0.0,0.08,0.01,0.44,0.0,0.07,"[45, 335, 23, 28]",0.14,0.01,0.2,0.06,0.52,0.04,0.02,,,,,,,,,,,,,,,,
88,"[940, 176, 88, 102]",0.34,0.0,0.07,0.0,0.08,0.0,0.51,"[419, 165, 92, 118]",0.51,0.0,0.31,0.0,0.14,0.01,0.03,"[1148, 332, 32, 40]",0.52,0.01,0.13,0.04,0.22,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,
