,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
24,"[323, 88, 50, 58]",0.19,0.0,0.03,0.33,0.16,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[352, 70, 67, 80]",0.21,0.01,0.02,0.12,0.17,0.0,0.47,"[527, 122, 60, 77]",0.71,0.0,0.02,0.01,0.06,0.0,0.21,"[461, 142, 55, 67]",0.2,0.0,0.01,0.0,0.1,0.0,0.69,"[220, 141, 55, 64]",0.14,0.0,0.24,0.02,0.2,0.01,0.39,"[9, 97, 49, 61]",0.26,0.0,0.05,0.19,0.15,0.01,0.35,"[86, 112, 41, 55]",0.27,0.0,0.24,0.02,0.18,0.02,0.28,"[315, 64, 42, 54]",0.34,0.01,0.05,0.01,0.31,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[525, 123, 63, 77]",0.54,0.0,0.01,0.02,0.14,0.0,0.3,"[462, 142, 55, 67]",0.13,0.0,0.01,0.01,0.1,0.0,0.76,"[547, 45, 54, 68]",0.37,0.0,0.04,0.04,0.17,0.03,0.35,"[223, 142, 52, 62]",0.18,0.0,0.14,0.02,0.17,0.0,0.49,"[6, 96, 51, 62]",0.16,0.0,0.06,0.13,0.15,0.01,0.49,"[316, 61, 48, 62]",0.2,0.0,0.01,0.0,0.59,0.0,0.19,"[120, 129, 43, 62]",0.19,0.04,0.36,0.04,0.2,0.01,0.16,"[84, 113, 43, 55]",0.3,0.0,0.3,0.01,0.21,0.02,0.17,"[511, 75, 40, 50]",0.03,0.0,0.08,0.27,0.44,0.02,0.15,"[439, 211, 17, 19]",0.07,0.0,0.06,0.01,0.3,0.01,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[524, 122, 62, 78]",0.56,0.0,0.01,0.01,0.08,0.0,0.35,"[462, 142, 55, 67]",0.08,0.0,0.01,0.01,0.08,0.0,0.82,"[219, 141, 51, 62]",0.11,0.0,0.05,0.0,0.29,0.0,0.55,"[8, 97, 49, 61]",0.22,0.0,0.06,0.16,0.12,0.01,0.43,"[507, 71, 43, 56]",0.06,0.0,0.03,0.34,0.43,0.01,0.13,"[315, 66, 44, 55]",0.57,0.01,0.01,0.0,0.25,0.0,0.16,"[84, 113, 42, 54]",0.36,0.0,0.15,0.03,0.24,0.03,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[525, 122, 62, 78]",0.69,0.0,0.01,0.01,0.08,0.0,0.22,"[546, 42, 55, 72]",0.24,0.01,0.1,0.01,0.37,0.01,0.26,"[461, 142, 55, 68]",0.08,0.0,0.01,0.02,0.09,0.0,0.8,"[219, 141, 51, 62]",0.11,0.0,0.05,0.0,0.29,0.0,0.54,"[315, 63, 46, 59]",0.38,0.0,0.01,0.0,0.45,0.0,0.15,"[11, 97, 46, 58]",0.36,0.0,0.05,0.08,0.14,0.01,0.35,"[118, 132, 43, 60]",0.24,0.0,0.25,0.1,0.19,0.02,0.21,"[84, 112, 43, 57]",0.33,0.0,0.16,0.03,0.23,0.01,0.25,"[505, 72, 43, 54]",0.04,0.0,0.03,0.6,0.24,0.01,0.09,"[150, 28, 38, 46]",0.55,0.0,0.01,0.02,0.05,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[525, 119, 64, 83]",0.56,0.0,0.01,0.02,0.09,0.0,0.31,"[462, 142, 56, 67]",0.04,0.0,0.01,0.01,0.07,0.0,0.88,"[219, 141, 51, 63]",0.1,0.0,0.08,0.0,0.29,0.0,0.53,"[120, 131, 46, 62]",0.24,0.0,0.36,0.05,0.19,0.01,0.15,"[12, 95, 47, 59]",0.57,0.0,0.1,0.05,0.14,0.0,0.14,"[547, 54, 46, 57]",0.06,0.0,0.09,0.01,0.69,0.01,0.14,"[84, 112, 44, 56]",0.37,0.0,0.24,0.07,0.13,0.08,0.1,"[315, 65, 42, 54]",0.19,0.0,0.02,0.0,0.23,0.01,0.55,"[150, 25, 43, 50]",0.62,0.0,0.01,0.03,0.05,0.0,0.28,"[508, 71, 41, 52]",0.02,0.0,0.03,0.48,0.38,0.01,0.08,"[57, 255, 21, 24]",0.16,0.0,0.05,0.06,0.42,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,
30,"[525, 124, 59, 75]",0.65,0.0,0.01,0.01,0.1,0.0,0.22,"[460, 140, 57, 69]",0.14,0.0,0.01,0.0,0.07,0.0,0.78,"[220, 142, 52, 61]",0.06,0.0,0.05,0.01,0.23,0.0,0.64,"[545, 50, 48, 63]",0.15,0.0,0.09,0.01,0.56,0.01,0.18,"[10, 94, 48, 62]",0.62,0.0,0.11,0.03,0.15,0.0,0.09,"[313, 63, 49, 61]",0.38,0.0,0.01,0.01,0.36,0.0,0.23,"[83, 111, 44, 55]",0.39,0.0,0.21,0.13,0.09,0.06,0.13,"[508, 72, 40, 51]",0.02,0.0,0.03,0.66,0.19,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[526, 122, 60, 77]",0.75,0.0,0.01,0.0,0.08,0.0,0.16,"[461, 141, 56, 67]",0.1,0.0,0.0,0.0,0.08,0.0,0.81,"[545, 47, 50, 67]",0.27,0.0,0.06,0.01,0.36,0.0,0.29,"[10, 96, 47, 60]",0.47,0.0,0.04,0.1,0.18,0.01,0.2,"[313, 64, 48, 59]",0.27,0.0,0.02,0.03,0.3,0.01,0.38,"[507, 74, 42, 50]",0.03,0.0,0.04,0.67,0.16,0.01,0.09,"[143, 26, 40, 47]",0.45,0.0,0.04,0.04,0.12,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[524, 121, 64, 78]",0.55,0.0,0.01,0.01,0.1,0.0,0.33,"[459, 140, 58, 69]",0.13,0.0,0.0,0.0,0.1,0.0,0.76,"[221, 142, 51, 62]",0.07,0.0,0.14,0.01,0.18,0.0,0.6,"[313, 62, 49, 61]",0.27,0.0,0.01,0.01,0.45,0.0,0.26,"[10, 96, 47, 59]",0.46,0.0,0.05,0.1,0.16,0.0,0.22,"[547, 52, 46, 60]",0.1,0.0,0.14,0.01,0.37,0.01,0.38,"[507, 73, 42, 52]",0.03,0.0,0.02,0.67,0.14,0.01,0.14,"[144, 27, 38, 45]",0.51,0.0,0.03,0.03,0.1,0.0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[524, 123, 61, 77]",0.67,0.0,0.01,0.01,0.07,0.0,0.24,"[459, 141, 57, 69]",0.09,0.0,0.0,0.0,0.07,0.0,0.83,"[547, 48, 52, 66]",0.16,0.0,0.1,0.01,0.41,0.0,0.31,"[221, 142, 51, 61]",0.04,0.0,0.09,0.0,0.21,0.0,0.66,"[313, 61, 48, 60]",0.15,0.0,0.02,0.02,0.35,0.01,0.44,"[10, 96, 47, 58]",0.47,0.0,0.05,0.13,0.15,0.01,0.19,"[82, 112, 44, 55]",0.33,0.0,0.12,0.08,0.16,0.13,0.18,"[508, 71, 41, 53]",0.02,0.0,0.04,0.63,0.19,0.01,0.11,"[142, 27, 40, 48]",0.62,0.0,0.06,0.07,0.14,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[524, 123, 61, 77]",0.79,0.0,0.01,0.01,0.06,0.0,0.13,"[461, 141, 56, 68]",0.11,0.0,0.0,0.0,0.08,0.0,0.8,"[220, 143, 51, 61]",0.08,0.0,0.12,0.01,0.24,0.0,0.55,"[312, 63, 48, 60]",0.33,0.0,0.01,0.01,0.17,0.01,0.47,"[10, 96, 48, 60]",0.26,0.0,0.03,0.26,0.17,0.01,0.28,"[547, 51, 47, 60]",0.09,0.0,0.1,0.01,0.28,0.01,0.51,"[82, 110, 44, 56]",0.48,0.0,0.08,0.03,0.18,0.05,0.18,"[508, 74, 40, 50]",0.08,0.0,0.04,0.54,0.2,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[323, 58, 56, 67]",0.38,0.0,0.03,0.02,0.09,0.01,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[319, 68, 51, 64]",0.8,0.0,0.06,0.03,0.06,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[342, 55, 56, 69]",0.88,0.0,0.02,0.01,0.01,0.01,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[346, 67, 55, 66]",0.82,0.0,0.07,0.04,0.04,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[342, 52, 56, 70]",0.92,0.0,0.0,0.0,0.01,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[330, 59, 55, 66]",0.52,0.0,0.05,0.05,0.12,0.01,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[318, 58, 55, 63]",0.5,0.0,0.02,0.01,0.05,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[311, 63, 50, 61]",0.45,0.0,0.01,0.0,0.04,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[307, 59, 56, 66]",0.24,0.0,0.01,0.12,0.05,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[319, 62, 50, 60]",0.33,0.0,0.05,0.01,0.26,0.01,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[315, 55, 57, 68]",0.18,0.0,0.03,0.58,0.04,0.02,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[322, 55, 55, 66]",0.97,0.0,0.0,0.0,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[323, 57, 55, 68]",0.26,0.0,0.04,0.41,0.15,0.01,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[324, 57, 54, 65]",0.38,0.0,0.02,0.35,0.02,0.01,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[306, 70, 53, 64]",0.59,0.0,0.12,0.01,0.21,0.01,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[297, 59, 57, 72]",0.62,0.0,0.09,0.0,0.22,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
