,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
63,"[440, 73, 194, 257]",0.06,0.0,0.19,0.12,0.1,0.04,0.48,,,,,,,,,,,,,,,,
64,"[422, 89, 183, 245]",0.24,0.0,0.09,0.06,0.13,0.02,0.46,,,,,,,,,,,,,,,,
65,"[403, 91, 180, 254]",0.25,0.0,0.1,0.03,0.11,0.01,0.5,"[466, 408, 42, 56]",0.12,0.0,0.13,0.03,0.49,0.05,0.19,,,,,,,,
66,"[403, 96, 175, 246]",0.29,0.0,0.16,0.05,0.12,0.01,0.36,,,,,,,,,,,,,,,,
67,"[404, 90, 187, 253]",0.08,0.0,0.06,0.04,0.13,0.01,0.68,,,,,,,,,,,,,,,,
68,"[328, 94, 201, 259]",0.04,0.0,0.12,0.03,0.02,0.05,0.75,,,,,,,,,,,,,,,,
69,"[893, 545, 81, 98]",0.49,0.0,0.1,0.0,0.27,0.01,0.13,,,,,,,,,,,,,,,,
70,"[359, 87, 183, 259]",0.49,0.0,0.18,0.12,0.05,0.02,0.15,,,,,,,,,,,,,,,,
71,"[331, 89, 199, 252]",0.08,0.0,0.06,0.06,0.02,0.06,0.72,,,,,,,,,,,,,,,,
72,"[328, 91, 200, 253]",0.02,0.0,0.04,0.2,0.01,0.04,0.69,,,,,,,,,,,,,,,,
73,"[357, 79, 195, 253]",0.54,0.0,0.1,0.03,0.03,0.03,0.26,"[902, 554, 62, 72]",0.07,0.0,0.29,0.02,0.34,0.01,0.26,,,,,,,,
74,"[339, 92, 198, 255]",0.04,0.0,0.08,0.07,0.02,0.07,0.73,,,,,,,,,,,,,,,,
75,"[340, 97, 199, 256]",0.09,0.0,0.06,0.07,0.03,0.02,0.73,,,,,,,,,,,,,,,,
76,"[354, 73, 200, 261]",0.26,0.0,0.08,0.02,0.06,0.03,0.54,,,,,,,,,,,,,,,,
77,"[332, 93, 189, 245]",0.03,0.0,0.02,0.04,0.02,0.01,0.88,,,,,,,,,,,,,,,,
78,"[442, 411, 40, 57]",0.32,0.0,0.22,0.0,0.3,0.03,0.13,,,,,,,,,,,,,,,,
79,"[361, 85, 195, 260]",0.27,0.0,0.1,0.06,0.06,0.04,0.48,,,,,,,,,,,,,,,,
80,"[341, 76, 191, 248]",0.04,0.01,0.54,0.08,0.04,0.23,0.08,,,,,,,,,,,,,,,,
