,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
139,"[1123, 474, 83, 102]",0.46,0.01,0.08,0.0,0.29,0.0,0.14,"[568, 182, 101, 141]",0.65,0.06,0.07,0.06,0.14,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,
140,"[626, 196, 95, 127]",0.35,0.02,0.1,0.11,0.29,0.01,0.12,"[1120, 466, 86, 113]",0.16,0.0,0.04,0.05,0.08,0.0,0.65,,,,,,,,,,,,,,,,,,,,,,,,
141,"[1124, 474, 81, 100]",0.24,0.0,0.09,0.03,0.06,0.08,0.5,"[612, 193, 94, 124]",0.22,0.0,0.13,0.27,0.09,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,
142,"[1123, 476, 82, 100]",0.36,0.01,0.14,0.01,0.23,0.01,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"[1121, 474, 82, 105]",0.19,0.0,0.08,0.02,0.16,0.01,0.55,"[587, 160, 112, 157]",0.54,0.01,0.01,0.09,0.07,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,
144,"[1121, 477, 80, 100]",0.3,0.0,0.12,0.03,0.2,0.03,0.32,"[591, 167, 114, 158]",0.34,0.0,0.02,0.11,0.29,0.0,0.23,,,,,,,,,,,,,,,,,,,,,,,,
145,"[597, 125, 134, 171]",0.28,0.0,0.21,0.03,0.03,0.28,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"[583, 139, 129, 160]",0.6,0.0,0.03,0.1,0.06,0.06,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"[599, 134, 131, 169]",0.15,0.0,0.01,0.3,0.07,0.0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"[619, 136, 120, 158]",0.31,0.0,0.04,0.34,0.07,0.03,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"[641, 140, 124, 159]",0.03,0.0,0.02,0.73,0.02,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"[610, 146, 127, 162]",0.01,0.0,0.01,0.97,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"[613, 132, 123, 159]",0.07,0.0,0.16,0.13,0.04,0.57,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"[604, 163, 119, 154]",0.0,0.0,0.0,0.93,0.01,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"[602, 144, 117, 157]",0.55,0.0,0.07,0.11,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"[637, 137, 122, 159]",0.17,0.0,0.11,0.23,0.06,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"[614, 157, 126, 159]",0.02,0.0,0.01,0.62,0.02,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"[610, 138, 126, 159]",0.31,0.01,0.09,0.09,0.05,0.41,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"[584, 158, 125, 160]",0.09,0.0,0.08,0.3,0.1,0.01,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"[558, 165, 115, 152]",0.03,0.0,0.01,0.69,0.06,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"[544, 151, 126, 163]",0.07,0.0,0.02,0.53,0.15,0.01,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"[639, 165, 123, 160]",0.02,0.0,0.03,0.58,0.06,0.0,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"[613, 156, 129, 164]",0.08,0.0,0.05,0.71,0.05,0.02,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"[599, 152, 128, 162]",0.04,0.0,0.04,0.6,0.06,0.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"[602, 153, 124, 157]",0.02,0.0,0.02,0.61,0.04,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"[606, 153, 127, 160]",0.02,0.0,0.04,0.72,0.04,0.0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"[607, 165, 122, 153]",0.01,0.0,0.01,0.9,0.01,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
