,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11
177,"[485, 99, 116, 155]",0.87,0.0,0.08,0.0,0.01,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"[927, 180, 50, 62]",0.09,0.0,0.07,0.02,0.11,0.0,0.7,"[966, 174, 81, 109]",0.44,0.0,0.06,0.01,0.21,0.0,0.28,"[630, 177, 42, 54]",0.21,0.0,0.14,0.16,0.26,0.01,0.22,"[244, 164, 34, 43]",0.22,0.0,0.16,0.35,0.2,0.02,0.05,"[1222, 170, 50, 61]",0.17,0.0,0.02,0.0,0.73,0.0,0.08,"[889, 166, 35, 43]",0.18,0.0,0.01,0.14,0.33,0.0,0.34,"[591, 164, 32, 41]",0.4,0.0,0.04,0.08,0.13,0.04,0.31,"[725, 214, 62, 82]",0.56,0.0,0.11,0.01,0.06,0.02,0.25,"[404, 157, 35, 47]",0.56,0.0,0.08,0.24,0.06,0.01,0.05,"[1236, 299, 39, 48]",0.07,0.0,0.08,0.17,0.42,0.02,0.23,"[108, 110, 17, 21]",0.12,0.0,0.12,0.1,0.45,0.14,0.06,"[1161, 77, 11, 15]",0.4,0.0,0.03,0.48,0.06,0.01,0.02
179,"[593, 144, 118, 153]",0.3,0.07,0.04,0.09,0.15,0.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[551, 101, 115, 148]",0.57,0.01,0.19,0.0,0.08,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[506, 119, 123, 157]",0.55,0.0,0.03,0.1,0.04,0.0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[604, 89, 129, 162]",0.15,0.0,0.05,0.0,0.18,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[712, 116, 113, 146]",0.77,0.0,0.01,0.0,0.07,0.06,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"[651, 103, 122, 155]",0.15,0.02,0.26,0.04,0.2,0.0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[663, 101, 121, 157]",0.36,0.0,0.1,0.0,0.18,0.0,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[599, 127, 130, 165]",0.86,0.0,0.02,0.09,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[675, 110, 120, 151]",0.14,0.0,0.45,0.01,0.2,0.04,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[579, 113, 120, 155]",0.06,0.0,0.11,0.04,0.2,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[576, 109, 119, 154]",0.02,0.0,0.03,0.0,0.02,0.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[711, 110, 119, 150]",0.24,0.0,0.16,0.01,0.1,0.03,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"[594, 130, 123, 154]",0.42,0.01,0.09,0.01,0.32,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[660, 113, 123, 153]",0.12,0.0,0.09,0.03,0.09,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[603, 112, 116, 151]",0.27,0.0,0.16,0.02,0.3,0.0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[630, 107, 118, 154]",0.46,0.0,0.11,0.03,0.09,0.02,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[663, 116, 113, 146]",0.15,0.0,0.09,0.01,0.05,0.02,0.7,"[1189, 342, 100, 156]",0.08,0.0,0.05,0.03,0.07,0.02,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[508, 129, 121, 154]",0.09,0.0,0.41,0.0,0.31,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[647, 128, 112, 141]",0.48,0.02,0.13,0.14,0.1,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[540, 112, 118, 156]",0.25,0.0,0.36,0.09,0.07,0.01,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[572, 98, 121, 154]",0.17,0.0,0.3,0.0,0.22,0.01,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
