,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
27,29,4.0,2.0,4.0,2.0,2.0,0.1328813559322034,3.389830508474576e-05,0.1265762711864407,0.003084745762711865,0.2087796610169492,0.0017966101694915255,0.5246101694915254,0.468271186440678,1,0
28,30,4.0,2.0,4.0,3.0,3.0,0.2517703349282297,0.005454545454545455,0.10899521531100478,0.003971291866028709,0.355933014354067,0.002535885167464115,0.26913875598086123,0.7221531100478469,1,0
29,31,4.0,2.0,4.0,3.0,3.0,0.2917518248175182,0.002043795620437956,0.20916058394160583,0.004963503649635037,0.3337226277372263,0.004452554744525547,0.1524087591240876,0.8366788321167883,1,0
30,32,4.0,2.0,4.0,3.0,3.0,0.18662280701754386,0.003157894736842105,0.19824561403508772,0.04671052631578948,0.25140350877192985,0.013859649122807018,0.29960526315789476,0.6394298245614035,1,0
31,33,4.0,2.0,4.0,3.0,3.0,0.4423157894736842,0.00010526315789473683,0.08340350877192983,0.01143859649122807,0.3897543859649123,0.0034385964912280703,0.06799999999999999,0.915578947368421,1,0
32,34,4.0,2.0,4.0,3.0,3.0,0.2785185185185185,0.0044444444444444444,0.052633744855967085,0.055720164609053505,0.34024691358024695,0.004609053497942386,0.26218106995884777,0.675843621399177,1,0
33,35,1.0,3.0,1.0,2.0,2.0,0.2428448275862069,0.002112068965517241,0.08646551724137932,0.0795689655172414,0.31439655172413794,0.03590517241379311,0.23693965517241378,0.6458189655172414,0,1
34,36,1.0,3.0,1.0,2.0,2.0,0.1400487804878049,0.00014634146341463414,0.06907317073170732,0.13570731707317074,0.20814634146341465,0.01936585365853659,0.42653658536585365,0.4174146341463415,0,1
35,37,1.0,3.0,1.0,2.0,2.0,0.2105217391304348,0.005130434782608696,0.2066086956521739,0.05165217391304348,0.1257391304347826,0.09730434782608695,0.30278260869565216,0.5479999999999999,0,1
36,38,1.0,3.0,1.0,2.0,2.0,0.12257575757575757,0.002159090909090909,0.10803030303030305,0.05268939393939394,0.2779924242424242,0.006477272727272727,0.4285984848484849,0.5107575757575757,0,1
37,39,1.0,3.0,1.0,2.0,2.0,0.2785416666666667,0.00020833333333333335,0.09406250000000001,0.06690972222222223,0.26885416666666667,0.007430555555555556,0.28274305555555557,0.6416666666666666,0,1
38,40,4.0,2.0,4.0,3.0,3.0,0.708688524590164,0.01121311475409836,0.06167213114754099,0.0741311475409836,0.0998360655737705,0.002295081967213115,0.03970491803278688,0.8814098360655738,1,0
39,42,4.0,2.0,4.0,3.0,3.0,0.3732131147540983,0.025409836065573774,0.21288524590163937,0.019737704918032787,0.3162950819672131,0.007147540983606558,0.044426229508196725,0.9278032786885245,1,0
40,44,4.0,2.0,4.0,3.0,3.0,0.45056478405315614,0.008405315614617942,0.19415282392026578,0.017308970099667777,0.2682392026578073,0.0026578073089701,0.05604651162790697,0.9213621262458471,1,0
41,45,3.0,4.0,4.0,2.0,2.0,0.18995652173913047,0.0002173913043478261,0.056913043478260886,0.15960869565217392,0.13408695652173916,0.0208695652173913,0.43756521739130444,0.38117391304347836,1,1
42,46,3.0,4.0,4.0,2.0,2.0,0.2795495495495496,0.0015315315315315317,0.196036036036036,0.1421171171171171,0.15662162162162163,0.038108108108108114,0.18495495495495495,0.6337387387387388,1,1
43,47,3.0,4.0,4.0,2.0,2.0,0.16854748603351957,0.000111731843575419,0.05681564245810056,0.1464245810055866,0.34480446927374303,0.007541899441340783,0.2743016759776536,0.5702793296089386,1,1
44,48,3.0,4.0,4.0,2.0,2.0,0.18022988505747123,0.002796934865900383,0.0563984674329502,0.4144444444444444,0.11704980842911879,0.030536398467432953,0.19685823754789275,0.35647509578544057,1,1
45,49,3.0,4.0,4.0,2.0,2.0,0.11295620437956205,0.00040145985401459847,0.07273722627737227,0.2247080291970803,0.18072992700729926,0.018905109489051095,0.38835766423357665,0.36682481751824814,1,1
