,angry,disgust,fear,happy,sad,surprise,neutral,negative,populism
38,0.028846153846153848,0.0,0.009615384615384616,0.04807692307692308,0.22115384615384606,0.0,0.6923076923076921,0.5288461538461542,1.00
39,0.38709677419354793,0.0,0.009216589861751152,0.03225806451612903,0.23963133640553005,0.0,0.33179723502304126,0.7788018433179702,1.00
40,0.837662337662335,0.0,0.03246753246753247,0.07792207792207793,0.03896103896103897,0.0,0.012987012987012988,0.9090909090909058,4.00
41,0.5098039215686277,0.0,0.06862745098039216,0.0,0.33333333333333337,0.0,0.08823529411764705,0.9607843137254889,4.00
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.5600000000000004,0.0,0.1680000000000001,0.008,0.22400000000000014,0.0,0.04,0.9600000000000007,4.00
45,0.2103004291845495,0.0,0.02145922746781116,0.1373390557939915,0.07296137339055797,0.004291845493562232,0.5536480686695264,0.3819742489270381,3.00
46,0.41573033707865203,0.0,0.21348314606741572,0.1348314606741573,0.0449438202247191,0.0,0.19101123595505617,0.7752808988764057,3.00
47,0.2049180327868853,0.0,0.049180327868852465,0.13934426229508196,0.40163934426229536,0.0,0.2049180327868853,0.6639344262295087,3.00
48,0.1686746987951807,0.0,0.012048192771084338,0.608433734939759,0.07228915662650602,0.012048192771084338,0.1265060240963856,0.319277108433735,3.00
49,0.1607142857142858,0.0,0.005952380952380952,0.6071428571428561,0.07142857142857142,0.005952380952380952,0.1488095238095239,0.30357142857142855,3.00
50,0.3333333333333332,0.0,0.0196078431372549,0.0,0.0196078431372549,0.058823529411764705,0.568627450980392,0.43137254901960764,1.00
51,0.7131578947368438,0.0,0.06842105263157895,0.002631578947368421,0.03421052631578948,0.0,0.18157894736842112,0.8578947368421074,1.00
52,0.45770065075922023,0.0,0.16485900216919733,0.010845986984815618,0.15618221258134488,0.013015184381778741,0.19739696312364402,0.8958785249457645,1.00
53,0.5702479338842965,0.0,0.09090909090909091,0.008264462809917356,0.2066115702479339,0.008264462809917356,0.11570247933884298,0.9256198347107416,1.00
54,0.336283185840707,0.0,0.06489675516224189,0.0471976401179941,0.10914454277286136,0.008849557522123894,0.43362831858406936,0.6519174041297939,1.00
55,0.6666666666666654,0.0,0.08823529411764702,0.0,0.23039215686274525,0.004901960784313725,0.00980392156862745,0.9852941176470564,2.00
56,0.7777777777777756,0.0,0.016339869281045753,0.03594771241830065,0.1013071895424837,0.0,0.06862745098039218,0.9150326797385594,2.00
57,0.7245901639344241,0.003278688524590164,0.009836065573770491,0.06557377049180328,0.14098360655737702,0.003278688524590164,0.05245901639344263,0.9016393442622908,2.00
58,0.5431472081218297,0.0,0.077834179357022,0.06429780033840951,0.1861252115059219,0.001692047377326565,0.12690355329949227,0.9018612521150547,2.00
59,0.18867924528301885,0.0,0.16981132075471697,0.07547169811320754,0.16981132075471697,0.0,0.3962264150943396,0.6981132075471698,2.00
60,0.20444444444444398,0.0,0.0044444444444444444,0.04,0.4111111111111114,0.0022222222222222222,0.3377777777777776,0.7022222222222244,4.00
61,0.10679611650485434,0.0,0.009708737864077669,0.07766990291262134,0.0,0.019417475728155338,0.786407766990291,0.203883495145631,4.00
62,0.16000000000000011,0.0,0.008,0.1320000000000001,0.5280000000000004,0.004,0.16800000000000012,0.7880000000000006,4.00
63,0.3440677966101681,0.0,0.00847457627118644,0.18813559322033907,0.1694915254237289,0.00847457627118644,0.28135593220338945,0.576271186440673,4.00
64,0.15841584158415842,0.0,0.0297029702970297,0.04950495049504951,0.18811881188118815,0.0,0.5742574257425745,0.4851485148514854,4.00
65,0.29106628242074967,0.0,0.012968299711815559,0.10951008645533129,0.4135446685878988,0.0,0.17291066282420728,0.7968299711815654,1.00
66,0.09243697478991596,0.0,0.0588235294117647,0.03361344537815126,0.025210084033613446,0.008403361344537815,0.7815126050420166,0.19327731092436973,0.0
67,0.5303030303030299,0.0,0.22727272727272718,0.030303030303030304,0.1515151515151515,0.045454545454545456,0.015151515151515152,0.9393939393939387,0.0
68,0.06493506493506497,0.0,0.04761904761904764,0.041125541125541135,0.5887445887445865,0.0,0.257575757575758,0.7965367965367925,0.0
69,0.06,0.0,0.46000000000000013,0.0,0.3,0.0,0.18,0.9600000000000005,0.0
70,0.23940149625935203,0.0,0.019950124688279305,0.29177057356608543,0.15461346633416462,0.007481296758104738,0.2867830423940156,0.48129675810473965,2.00
71,0.6160558464223358,0.0017452006980802793,0.013961605584642236,0.10645724258289692,0.010471204188481676,0.010471204188481676,0.24083769633507912,0.684118673647466,2.00
72,0.1272727272727273,0.0,0.20000000000000004,0.09090909090909091,0.01818181818181818,0.14545454545454548,0.41818181818181827,0.47272727272727283,2.00
73,0.13548387096774187,0.0,0.00967741935483871,0.00967741935483871,0.02580645161290323,0.0064516129032258064,0.8129032258064478,0.2709677419354841,2.00
74,0.03542234332425067,0.0,0.24250681198910132,0.024523160762942774,0.05449591280653949,0.31335149863760237,0.3297002724795641,0.3923705722070842,2.00
75,0.8555555555555545,0.0,0.0,0.0,0.011111111111111112,0.0,0.13333333333333333,0.933333333333332,4.00
76,0.07303370786516854,0.0,0.0,0.0,0.0,0.0,0.9269662921348334,0.11235955056179775,4.00
77,0.25,0.0,0.22916666666666669,0.25,0.08333333333333333,0.020833333333333332,0.16666666666666666,0.6458333333333334,4.00
78,0.12607099143206874,0.0,0.0024479804161566705,0.039167686658506694,0.5042839657282757,0.003671970624235006,0.3243574051407599,0.7894736842105161,4.00
79,0.29602888086642576,0.0,0.010830324909747294,0.06498194945848378,0.12635379061371838,0.0036101083032490976,0.498194945848375,0.5523465703971122,4.00
80,0.11444141689373293,0.0,0.1771117166212536,0.029972752043596722,0.16076294277929168,0.0,0.5177111716621248,0.6621253405994566,1.00
81,0.14990512333965825,0.0,0.003795066413662239,0.07590132827324476,0.08349146110056922,0.0,0.6869070208728691,0.3586337760910809,1.00
82,0.1323251417769377,0.0,0.003780718336483932,0.00945179584120983,0.06994328922495271,0.0,0.7844990548204204,0.34593572778828013,1.00
83,0.019230769230769232,0.0,0.0,0.07692307692307693,0.038461538461538464,0.0,0.865384615384616,0.07692307692307693,1.00
84,0.08390410958904118,0.0,0.011986301369863013,0.03424657534246575,0.09931506849315083,0.0,0.7705479452054734,0.2945205479452064,1.00
85,0.6323529411764701,0.0,0.044117647058823525,0.014705882352941176,0.25,0.0,0.058823529411764705,0.970588235294116,2.00
86,0.06976744186046513,0.0,0.03617571059431524,0.3850129198966417,0.023255813953488372,0.0,0.4857881136950922,0.16279069767441845,2.00
87,0.1751824817518248,0.0,0.10218978102189782,0.2700729927007298,0.09489051094890512,0.0364963503649635,0.32116788321167866,0.4525547445255471,2.00
88,0.370762711864406,0.0,0.11228813559322023,0.04661016949152544,0.03389830508474577,0.00423728813559322,0.43220338983050754,0.6207627118644053,2.00
89,0.013358778625954198,0.0,0.18702290076335903,0.4561068702290053,0.030534351145038167,0.009541984732824428,0.30343511450381644,0.25954198473282464,2.00
90,0.03125,0.0,0.2499999999999999,0.4375000000000002,0.0,0.10416666666666667,0.1770833333333333,0.3125,2.00
91,0.0,0.0,0.5438596491228072,0.17543859649122806,0.017543859649122806,0.08771929824561403,0.17543859649122806,0.5263157894736843,2.00
92,0.08791208791208792,0.0,0.3861852433281021,0.21036106750392514,0.0031397174254317113,0.07849293563579281,0.23390894819466312,0.5337519623233935,2.00
93,0.15105162523900573,0.0,0.25430210325047853,0.057361376673040115,0.2351816443594651,0.011472275334608031,0.29063097514340364,0.768642447418734,2.00
94,0.27592592592592585,0.0,0.28888888888888864,0.06851851851851856,0.03888888888888889,0.053703703703703726,0.274074074074074,0.6888888888888889,2.00
95,0.9159663865546211,0.0,0.0,0.0,0.08403361344537814,0.0,0.0,0.999999999999999,4.00
96,0.2260869565217392,0.0,0.0,0.008695652173913044,0.7652173913043465,0.0,0.0,0.9999999999999973,4.00
97,0.5053763440860232,0.0,0.008960573476702509,0.012544802867383511,0.4569892473118293,0.0,0.016129032258064516,0.976702508960565,4.00
98,0.8181818181818183,0.0,0.0,0.0,0.16883116883116886,0.0,0.012987012987012988,1.0000000000000002,4.00
99,0.37916666666666654,0.004166666666666667,0.06666666666666667,0.0,0.5374999999999993,0.0,0.0125,0.9999999999999977,4.00
100,0.6598130841121539,0.0,0.044859813084112174,0.001869158878504673,0.16635514018691563,0.001869158878504673,0.12523364485981295,0.92897196261683,4.00
101,0.25298804780876477,0.0,0.05776892430278881,0.00199203187250996,0.13944223107569712,0.00398406374501992,0.5438247011952188,0.6235059760956171,4.00
102,0.08823529411764702,0.0,0.014705882352941176,0.044117647058823525,0.0196078431372549,0.00980392156862745,0.8235294117647041,0.142156862745098,4.00
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.18881118881118894,0.0,0.02097902097902098,0.1258741258741259,0.18181818181818193,0.0,0.4825174825174823,0.4195804195804195,4.00
105,0.07042253521126761,0.0,0.05281690140845072,0.4190140845070418,0.08450704225352111,0.16549295774647876,0.20774647887323927,0.2464788732394364,2.00
106,0.05031446540880503,0.0,0.0,0.2830188679245283,0.012578616352201259,0.0880503144654088,0.5660377358490566,0.06918238993710692,2.00
107,0.1542288557213931,0.0,0.004975124378109453,0.343283582089552,0.02487562189054726,0.044776119402985065,0.4278606965174123,0.1791044776119404,2.00
108,0.00625,0.0,0.00625,0.37812499999999916,0.3937499999999991,0.031249999999999997,0.18437499999999984,0.428124999999999,2.00
109,0.18947368421052638,0.0,0.0,0.14736842105263162,0.5684210526315787,0.0,0.09473684210526317,0.8315789473684216,2.00
