id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
20,2,1,1,3,3,0.182014925373134,0.000149253731343284,0.0387810945273632,0.00223880597014925,0.378706467661691,0.0110945273631841,0.38547263681592,0.599651741293532,0,0
21,2,1,1,3,3,0.165984555984556,0.000617760617760618,0.048030888030888,0.00876447876447877,0.149382239382239,0.0107335907335907,0.614015444015444,0.364015444015444,0,0
22,2,1,1,3,3,0.196130030959752,0.0111764705882353,0.0911764705882353,0.0118575851393189,0.275851393188854,0.0291640866873065,0.382786377708978,0.574334365325077,0,0
23,2,1,1,3,3,0.192678571428571,0.000446428571428571,0.152589285714286,0.0414285714285714,0.229017857142857,0.03125,0.351785714285714,0.574732142857143,0,0
24,2,1,1,3,3,0.25546511627907,0.000232558139534884,0.065,0.000697674418604651,0.356046511627907,0.0253488372093023,0.296860465116279,0.676744186046512,0,0
25,4,2,4,2,2,0.176052631578947,0.00131578947368421,0.103026315789474,0.0339473684210526,0.168026315789474,0.00605263157894737,0.510394736842105,0.448421052631579,1,0
26,4,2,4,2,2,0.0979661016949152,0.00169491525423729,0.0466101694915254,0.0510169491525424,0.153728813559322,0.00474576271186441,0.644576271186441,0.3,1,0
27,4,2,4,2,2,0.0710843373493976,0.000180722891566265,0.084277108433735,0.000783132530120482,0.179578313253012,0.00253012048192771,0.660481927710843,0.335120481927711,1,0
28,4,2,4,2,2,0.119076086956522,0.005,0.130489130434783,0.0110326086956522,0.243804347826087,0.0242391304347826,0.464402173913043,0.498369565217391,1,0
29,4,2,4,2,2,0.128504672897196,0,0.130934579439252,0.00308411214953271,0.222616822429907,0.000934579439252336,0.511121495327103,0.482056074766355,1,0
30,4,2,4,3,3,0.131481481481481,0,0.092962962962963,0.00111111111111111,0.157037037037037,0.000740740740740741,0.614444444444444,0.381481481481482,1,0
31,4,2,4,3,3,0.281176470588235,0.00117647058823529,0.189019607843137,0.00333333333333333,0.352352941176471,0.00313725490196079,0.167450980392157,0.823725490196078,1,0
32,4,2,4,3,3,0.186417910447761,0.00251599147121535,0.191748400852878,0.0483795309168444,0.262452025586354,0.0135181236673774,0.294221748400853,0.643134328358209,1,0
33,4,2,4,3,3,0.193541666666667,0.00360745614035088,0.184638157894737,0.0542105263157895,0.26219298245614,0.0120614035087719,0.288585526315789,0.643980263157895,1,0
34,4,2,4,3,3,0.269472361809045,0.0049748743718593,0.0520854271356784,0.0566834170854271,0.338165829145729,0.00477386934673367,0.271758793969849,0.664698492462312,1,0
35,1,3,1,2,2,0.26975935828877,0.00524064171122995,0.0523262032085562,0.0594117647058824,0.338663101604278,0.00481283422459893,0.267673796791444,0.665989304812834,0,1
36,1,3,1,2,2,0.254029227557411,0.00417536534446764,0.0567223382045929,0.0517327766179541,0.335594989561587,0.00572025052192067,0.289791231732777,0.650521920668058,0,1
37,1,3,1,2,2,0.215172413793103,0.00310344827586207,0.21448275862069,0.0213793103448276,0.129310344827586,0.110689655172414,0.30448275862069,0.562068965517241,0,1
38,1,3,1,2,2,0.125192307692308,0.00192307692307692,0.0993269230769231,0.0616346153846154,0.276346153846154,0.00567307692307692,0.427980769230769,0.502788461538462,0,1
39,1,3,1,2,2,0.307880184331797,0.000184331797235023,0.0881566820276498,0.0550230414746544,0.251290322580645,0.0067741935483871,0.289400921658986,0.647511520737327,0,1
40,4,2,4,3,3,0.69448051948052,0.0128571428571429,0.0668181818181818,0.0792857142857143,0.0964285714285714,0.00350649350649351,0.0436363636363636,0.870584415584416,1,0
41,4,2,4,3,3,0.342843137254902,0.00441176470588235,0.148627450980392,0.00313725490196078,0.336274509803922,0.0103921568627451,0.153235294117647,0.832156862745098,1,0
44,4,2,4,3,3,0.41944,0.008,0.21248,0.02072,0.27224,0.00448,0.06112,0.91216,1,0
45,3,4,4,2,2,0.20381974248927,0.000171673819742489,0.0613733905579399,0.171072961373391,0.143304721030043,0.0194420600858369,0.399742489270386,0.408669527896996,1,1
46,3,4,4,2,2,0.27438202247191,0.00191011235955056,0.197640449438202,0.152696629213483,0.142584269662921,0.030561797752809,0.199438202247191,0.616516853932584,1,1
47,3,4,4,2,2,0.189016393442623,0.000245901639344262,0.0618032786885246,0.141475409836066,0.349180327868852,0.00737704918032787,0.249590163934426,0.600245901639344,1,1
48,3,4,4,2,2,0.180602409638554,0.00253012048192771,0.0569879518072289,0.427409638554217,0.11921686746988,0.0242771084337349,0.186927710843374,0.35933734939759,1,1
49,3,4,4,2,2,0.174642857142857,0.00220238095238095,0.0565476190476191,0.438690476190476,0.113154761904762,0.0236309523809524,0.189285714285714,0.346547619047619,1,1
50,1,1,1,3,3,0.262549019607843,0.00235294117647059,0.0823529411764706,0.0213725490196078,0.101960784313725,0.0927450980392157,0.434901960784314,0.44921568627451,0,0
51,1,1,1,3,3,0.518868421052632,0.000552631578947368,0.128736842105263,0.00284210526315789,0.110026315789474,0.00865789473684211,0.228447368421053,0.758184210526316,0,0
52,1,1,1,3,3,0.354511930585683,0.0010412147505423,0.202668112798265,0.0128633405639913,0.202711496746204,0.0304772234273319,0.194338394793926,0.760932754880694,0,0
53,1,1,1,3,3,0.390826446280992,0.000578512396694215,0.153636363636364,0.0100826446280992,0.245537190082645,0.0246280991735537,0.172148760330578,0.790578512396694,0,0
54,1,1,1,3,3,0.288790560471976,0.000294985250737463,0.11117994100295,0.0521533923303835,0.189705014749263,0.025811209439528,0.330825958702065,0.589970501474926,0,0
55,2,4,2,3,3,0.487156862745098,0.0240196078431373,0.185441176470588,0.0119607843137255,0.249460784313725,0.0148529411764706,0.0255392156862745,0.946078431372549,0,1
56,2,4,2,3,3,0.63718954248366,0.0205555555555556,0.061764705882353,0.0492156862745098,0.131895424836601,0.0057516339869281,0.0907843137254902,0.85140522875817,0,1
57,2,4,2,3,3,0.560459016393443,0.00718032786885246,0.0835081967213115,0.0874426229508197,0.159934426229508,0.0178688524590164,0.0822950819672131,0.811081967213115,0,1
58,2,4,2,3,3,0.376311336717428,0.00346869712351946,0.134873096446701,0.0741116751269035,0.228866328257191,0.0130964467005076,0.167428087986464,0.743519458544839,0,1
59,2,4,2,3,3,0.219433962264151,0.000377358490566038,0.150188679245283,0.0843396226415094,0.220188679245283,0.0205660377358491,0.30188679245283,0.590188679245283,0,1
60,4,1,3,3,3,0.2294,0.0008,0.0738888888888889,0.0473777777777778,0.339155555555556,0.0129555555555556,0.294911111111111,0.643244444444444,1,0
61,4,1,3,3,3,0.20126213592233,0.00223300970873786,0.0380582524271845,0.0779611650485437,0.089126213592233,0.0219417475728155,0.567864077669903,0.330679611650485,1,0
62,4,1,3,3,3,0.2246,0.00172,0.08936,0.1212,0.36584,0.01044,0.18532,0.68152,1,0
63,4,1,3,3,3,0.311627118644068,0.000559322033898305,0.0385254237288136,0.181050847457627,0.179576271186441,0.0184745762711864,0.268694915254237,0.53028813559322,1,0
64,4,1,3,3,3,0.182871287128713,0.00188118811881188,0.0932673267326733,0.0614851485148515,0.218811881188119,0.0179207920792079,0.422673267326733,0.496831683168317,1,0
65,1,3,1,3,2,0.278991354466859,0.00342939481268011,0.0739048991354467,0.119798270893372,0.328703170028818,0.0104322766570605,0.18306916426513,0.685028818443804,0,1
66,,,,,,0.153109243697479,0.000420168067226891,0.140168067226891,0.0768067226890757,0.0626050420168067,0.0585714285714286,0.506806722689076,0.356302521008403,,
67,,,,,,0.353636363636364,0,0.24030303030303,0.0439393939393939,0.195909090909091,0.051969696969697,0.11469696969697,0.789848484848485,,
68,,,,,,0.154415584415584,0.000367965367965368,0.108831168831169,0.0448701298701299,0.445194805194805,0.00738095238095238,0.237164502164502,0.708809523809524,,
69,,,,,,0.1312,0,0.3394,0.0112,0.3148,0.0046,0.1964,0.7854,,
70,2,3,1,3,3,0.223466334164589,0.00167082294264339,0.0781546134663342,0.249800498753117,0.181770573566085,0.022643391521197,0.241920199501247,0.485062344139651,0,1
71,2,3,1,3,3,0.397033158813263,0.00715532286212914,0.0843455497382199,0.12825479930192,0.0983769633507853,0.0274869109947644,0.255828970331588,0.586910994764398,0,1
72,2,3,1,3,3,0.204146341463415,0,0.203170731707317,0.09,0.0553658536585366,0.112439024390244,0.331707317073171,0.462682926829268,0,1
73,2,3,1,3,3,0.228096774193548,0.000129032258064516,0.0658709677419355,0.0265161290322581,0.0980645161290322,0.0200967741935484,0.559677419354839,0.392161290322581,0,1
74,2,3,1,3,3,0.110136239782016,0.00128065395095368,0.233514986376022,0.0239782016348774,0.0963215258855586,0.274904632152589,0.258828337874659,0.44125340599455,0,1
75,4,4,4,3,3,0.567777777777778,0.000555555555555556,0.0148888888888889,0.00144444444444444,0.184111111111111,0,0.228777777777778,0.767333333333333,1,1
76,4,4,4,3,3,0.157752808988764,0.000224719101123596,0.0191573033707865,0.0169101123595506,0.093876404494382,0.00123595505617978,0.708988764044944,0.271011235955056,1,1
77,4,4,4,3,3,0.215208333333333,0,0.203333333333333,0.206666666666667,0.147708333333333,0.06625,0.16125,0.56625,1,1
78,4,4,4,3,3,0.237356181150551,0.00489596083231334,0.051297429620563,0.0306364749082007,0.388506731946144,0.00654834761321909,0.27780905752754,0.682056303549572,1,1
79,4,4,4,3,3,0.262519083969466,0.000763358778625954,0.0538931297709924,0.0680534351145038,0.184160305343511,0.0115267175572519,0.417022900763359,0.501335877862595,1,1
80,1,1,1,3,3,0.181089918256131,0,0.192343324250681,0.0580381471389646,0.203133514986376,0.00760217983651226,0.357057220708447,0.576566757493188,0,0
81,1,1,1,3,3,0.221745730550285,0.000170777988614801,0.0507210626185958,0.0825047438330171,0.160607210626186,0.00172675521821632,0.480398481973434,0.433244781783681,0,0
